pid,name,geom,guid,point,gkguid,create_time,update_time
15,黄骅港锚地,"POLYGON ((118.429966083333 38.70977127777779, 118.6044565 38.49143175, 118.071164305556 38.32692608333329, 117.958065527778 38.48303044444441, 118.429966083333 38.70977127777779))",e9564cd3-0a63-452f-9585-6dc5792552d8,POINT (118.35998481767267 38.60060151388889),2a9d84f4-a54c-4260-ab42-cb0f3e6024de,2025-09-19 10:49:36,2025-09-19 10:49:36
16,天津港锚地,"POLYGON ((118.25038852777799 38.9732445277778, 118.25006666666697 38.9121953055556, 118.147009333333 38.79855627777779, 118.102825472222 38.7497221944444, 118.01770650000002 38.69458199999999, 117.959770777778 38.6709641666667, 117.825231166667 38.83044230555561, 117.939727055556 38.8945671666667, 117.976432583333 39.0048488888889, 118.25038852777799 38.9732445277778))",3a8214b4-7e59-4d32-9ce9-1e0e4686045d,POINT (118.04374111578745 38.86250473611115),975e3c8d-c089-4058-b7ad-24fc69898e3d,2025-09-20 15:55:10,2025-10-22 14:29:54
18,京唐锚地,"POLYGON ((119.14906008333297 39.2356561111111, 119.17413222222198 39.2254654722222, 119.19317661111097 39.2303835555556, 119.30582938888897 39.26162466666669, 119.407867777778 39.1743965, 119.370653277778 39.0797209166667, 119.32838097222202 39.023997388888894, 119.25623691666702 38.9677608888889, 119.09608069444401 38.9111727222222, 118.927214666667 39.0943063055556, 119.14906008333297 39.2356561111111))",e71c4875-f267-43e5-916a-b6fb4aa479e1,POINT (119.15372952403054 39.087013611111146),3057dd04-494a-4e41-887f-b0bdb84f7042,2025-09-20 15:59:03,2025-09-20 15:59:03
19,秦皇岛锚地,"POLYGON ((119.65540347222199 39.86968611111109, 119.695123416667 39.9009918611111, 120.00055713888901 39.86548641666669, 119.91428191666698 39.71741197222221, 119.700893333333 39.61689136111111, 119.564355861111 39.7158088055556, 119.600608388889 39.8625539166667, 119.65540347222199 39.86968611111109))",59fe1d64-2b52-471d-8be9-7a649863539d,POINT (119.76962268610912 39.78998294444445),1d811671-a073-43d2-8556-b0d8b015dc5a,2025-09-20 16:02:24,2025-09-20 16:02:24
20,曹妃甸锚地,"POLYGON ((119.16824499999997 38.60932799999999, 119.16272499999998 38.607031, 118.36835800000001 38.779437, 118.3641 38.78115499999999, 118.36286699999998 38.78201599999999, 118.26496300000001 38.864622, 118.263335 38.866309, 118.24806399999997 38.88921, 118.24663200000002 38.8939, 118.25949599999997 38.918753, 118.27383800000001 38.932008, 118.37284864 38.93810465, 118.52757845 38.90727737000001, 118.710239 38.952803, 119.08524399999999 38.785876, 119.17304200000001 38.62072800000001, 119.16824499999997 38.60932799999999))",1c5a1c8f-1db7-4327-97bf-a32db61d90d4,POINT (118.72721975392982 38.78029599999999),3b6f833a-28fd-48d0-9515-b33f65b66959,2025-10-16 17:25:41,2025-10-16 17:25:41
21,台山锚地,"POLYGON ((112.87190399999999 21.659023, 112.868067 21.661469, 112.86785 21.661752, 112.867328 21.662698000000002, 112.86696399999998 21.663659, 112.86670999999998 21.665742999999992, 112.86676799999998 21.666356, 112.86731199999998 21.667956, 112.95695199999999 21.736444, 112.960525 21.737703, 112.96312799999998 21.738121999999997, 112.99712399999999 21.742758999999992, 112.999676 21.742466999999998, 113.04071699999999 21.721466, 113.04127299999999 21.721176999999997, 113.04258799999998 21.720220999999995, 113.043062 21.719760999999995, 113.11123799999999 21.640962, 113.104535 21.632249999999996, 112.87190399999999 21.659023))",6fc3b857-dc02-4a99-87ac-bf190e5bc08a,POINT (112.98334341988854 21.693858499999997),3d5d6a80-a9c2-46a9-961e-4ec1223784c1,2025-10-17 09:08:38,2025-10-17 09:08:38
22,高栏锚地,"POLYGON ((113.25364699999999 21.848354999999994, 113.25529 21.853514999999998, 113.262872 21.859283999999995, 113.266568 21.860403, 113.267195 21.860464, 113.286836 21.861126, 113.31946899999998 21.857181, 113.3525843 21.85611104, 113.360467 21.797005, 113.36075099999998 21.787221, 113.360648 21.785851999999995, 113.35572999999998 21.768044000000003, 113.26897 21.702094999999996, 113.25364699999999 21.848354999999994))",e1730452-28c2-4645-975e-5c4f04280e60,POINT (113.30965849453369 21.776947999999997),184b10f7-5a18-4abc-b128-569fbe294997,2025-10-20 09:21:04,2025-10-20 09:21:04
24,乐东锚地,"POLYGON ((108.61754839999999 18.54093338, 108.6169619 18.540233999999998, 108.61631089999999 18.53959427, 108.61560129999998 18.53902012, 108.6148399 18.53851688, 108.61403349999999 18.53808921, 108.61318979999999 18.537741089999997, 108.6123164 18.53747573, 108.6114217 18.5372956, 108.61051369999998 18.537202369999996, 108.609601 18.537196899999998, 108.6086919 18.537279250000005, 108.60779509999999 18.537448649999998, 108.5950158 18.54050612, 108.59488599999999 18.54053815, 108.32798689999998 18.60838826, 108.32710929999999 18.60865721, 108.32626189999999 18.609009780000004, 108.3254525 18.609442660000003, 108.3246888 18.609951800000005, 108.32397789999999 18.610532419999995, 108.32332649999998 18.61117907, 108.32274069999998 18.6118857, 108.32222599999999 18.61264567, 108.32178719999999 18.61345186, 108.3214285 18.61429672, 108.32018489999999 18.617670809999996, 108.31990149999999 18.618577399999996, 108.3197102 18.61950779, 108.319613 18.62045265, 108.3196109 18.62140249999999, 108.31970389999998 18.622347789999996, 108.31989089999999 18.62327903, 108.32017029999999 18.62418688, 108.32053909999999 18.625062199999995, 108.36215749999998 18.71146319, 108.3626037 18.71228357, 108.36312849999999 18.71305606, 108.36372679999998 18.713773149999998, 108.36439269999998 18.71442789, 108.36511980000002 18.71501392, 108.36590109999999 18.71552556, 108.36672889999998 18.715957819999996, 108.3675953 18.716306529999997, 108.36849169999999 18.71656829, 108.36940959999998 18.71674056, 108.36964609999998 18.71677299, 108.37059119999999 18.716854639999998, 108.37153969999999 18.716841419999998, 108.3724822 18.71673345, 108.3734092 18.71653182, 108.37431129999999 18.71623854, 108.37517969999999 18.715856549999998, 108.4473003 18.679719929999997, 108.4484417 18.67904423, 108.59162259999998 18.580131029999997, 108.59219569999999 18.57970229, 108.59273479999999 18.579231519999997, 108.6174769 18.555921809999997, 108.61784099999998 18.555559660000004, 108.61787919999999 18.5555196, 108.61846399999999 18.554844520000003, 108.61898269999999 18.554117389999995, 108.6194306 18.553344669999994, 108.61980379999999 18.552533219999997, 108.620099 18.551690239999996, 108.62031349999998 18.55082322, 108.62044549999999 18.54993985, 108.62049369999998 18.549047989999995, 108.62045779999998 18.548155539999996, 108.6203891 18.547371620000003, 108.6202712 18.546496539999996, 108.6200723 18.54563622, 108.61979429999998 18.54479814, 108.61943949999998 18.543989579999995, 108.61901089999999 18.54321754, 108.61806489999998 18.541685929999993, 108.61754839999999 18.54093338))",03ad4a7f-1b6d-4cb6-9645-ae6f0ecc5f19,POINT (108.41052633522585 18.652053214999995),026630a4-6984-426d-915d-b3fa0f8ed063,2025-10-20 17:02:16,2025-10-20 17:02:16
25,八所锚地,"POLYGON ((108.54566099999998 19.035465339999995, 108.54471539999999 19.035270669999996, 108.54375499999999 19.03517291, 108.5427896 19.03517308, 108.5424157 19.03519216, 108.54133739999999 19.03530914, 108.5412458 19.0353244, 108.54085989999999 19.035396929999997, 108.4674957 19.050762539999997, 108.4667402 19.0509534, 108.4660028 19.05120552, 108.46557559999998 19.051371460000002, 108.4645346 19.051849839999996, 108.46355869999998 19.05244999, 108.46328399999999 19.05264263, 108.4625646 19.05320045, 108.46190189999999 19.05382454, 108.4613019 19.05450915, 108.4607701 19.05524803, 108.4598165 19.056716689999995, 108.4593513 19.057515479999996, 108.45896599999999 19.058355670000005, 108.4586641 19.059229319999996, 108.45844849999999 19.06012816, 108.4556561 19.07490248, 108.4555677 19.075461220000005, 108.45189789999999 19.104138199999994, 108.4518261 19.10503405, 108.45183919999998 19.10593267, 108.45193719999999 19.10682604, 108.452119 19.10770616, 108.45238319999999 19.10856518, 108.45272729999999 19.109395409999994, 108.4531927 19.110383409999997, 108.45358860000002 19.111134889999995, 108.45405 19.11184802, 108.4545733 19.112517119999996, 108.4551542 19.11313683, 108.45578809999999 19.11370221, 108.45838209999998 19.11581555, 108.45889699999998 19.11620668999999, 108.46104079999999 19.117723030000004, 108.4618147 19.118216119999996, 108.46263249999998 19.118632289999997, 108.4634866 19.118967679999994, 108.46436899999999 19.119219159999997, 108.4652716 19.11938437, 108.4661859 19.119461800000003, 108.4671034 19.119450699999998, 108.4680156 19.119351189999996, 108.46891389999999 19.11916419, 108.53080359999998 19.103129110000005, 108.5310205 19.10307017, 108.53124169999998 19.103007229999996, 108.5318654 19.102806319999996, 108.5761769 19.086826549999998, 108.57709399999999 19.086440469999996, 108.5779657 19.085960620000005, 108.5787825 19.085392289999998, 108.57953539999998 19.084741679999997, 108.58021609999999 19.084015929999996, 108.58081719999998 19.083223, 108.58133219999999 19.08237157, 108.58146189999998 19.08212934, 108.58184929999999 19.081315190000005, 108.58215789999998 19.080468, 108.58238469999999 19.0795954, 108.58252789999999 19.07870522, 108.58258610000001 19.077805469999998, 108.58255879999999 19.07690427, 108.58229939999998 19.07357404, 108.58218380000001 19.072661870000005, 108.58198050000001 19.071765150000004, 108.5816916 19.07089226, 108.5813197 19.070051369999998, 108.58086829999999 19.06925035, 108.5803416 19.068496689999996, 108.5797445 19.067797439999996, 108.5796835 19.067732590000002, 108.57951169999998 19.067554800000003, 108.5502759 19.03806719, 108.54951099999998 19.037375220000005, 108.5486757 19.036770199999996, 108.54777980000001 19.03625924, 108.54683369999998 19.035848369999993, 108.5465819 19.035754909999998, 108.54566099999998 19.035465339999995))",d028b4f8-b2d8-403c-af84-d14da78ddbf5,POINT (108.51894890957794 19.07735487),6bc5377d-9ef5-4ec5-8763-d1c66d7bbdbc,2025-10-20 17:03:04,2025-10-20 17:03:04
26,雷州锚地,"POLYGON ((109.67795839999998 20.412447119999996, 109.67711459999998 20.41247062, 109.6762761 20.412568230000005, 109.6754495 20.41273922, 109.67426699999999 20.413038669999995, 109.6732345 20.41336313, 109.6722452 20.41380189, 109.67131160000001 20.414349350000002, 109.6235897 20.44608382, 109.62301659999999 20.44649617, 109.6224754 20.446949579999995, 109.6221626 20.447231869999992, 109.62152809999999 20.447860460000005, 109.6209549 20.448545369999998, 109.62044789999999 20.44928065, 109.61995959999999 20.450064569999995, 109.6195114 20.450867659999997, 109.61914209999999 20.451710009999996, 109.61885529999999 20.452583859999997, 109.6184281 20.45413263, 109.6182086 20.455134219999998, 109.6180974 20.456153529999998, 109.61799059999998 20.45808758, 109.6179831 20.4589842, 109.61805940000002 20.459877589999998, 109.61821879999998 20.460759959999997, 109.61845989999999 20.461623579999998, 109.6187807 20.46246089, 109.6191782 20.46326456999999, 109.6196492 20.464027599999994, 109.6201893 20.464743299999995, 109.6207939 20.46540541, 109.6221138 20.466721480000004, 109.62279129999999 20.46733539, 109.62297439999999 20.46748607, 109.62345310000002 20.467855349999997, 109.6235218 20.46790494, 109.62438839999999 20.468462509999995, 109.6253098 20.468923840000002, 109.62627539999998 20.46928361999999, 109.62648910000001 20.46935038, 109.626793 20.469439870000002, 109.66783149999999 20.480790499999998, 109.6686106 20.480971369999995, 109.669402 20.481086669999996, 109.6702003 20.48113561, 109.7090263 20.481892829999996, 109.70993619999999 20.48186735, 109.7108396 20.481755690000004, 109.71172839999998 20.48155886, 109.71259449999998 20.48127863, 109.71343009999998 20.480917529999996, 109.71422759999999 20.4804788, 109.71431159999999 20.4804273, 109.71493519999999 20.480010179999997, 109.71552429999998 20.479545579999996, 109.7188736 20.476684550000005, 109.7198122 20.475764229999996, 109.71982749999998 20.475747069999997, 109.72040679999999 20.4750285, 109.72091429999999 20.474257549999997, 109.72134529999998 20.473441369999996, 109.7216958 20.47258752999999, 109.7219626 20.47170394, 109.7221433 20.470798780000003, 109.722236 20.46988046, 109.72223999999999 20.468957470000003, 109.7214084 20.449994610000005, 109.7213893 20.449678659999996, 109.7212291 20.44759775, 109.7211028 20.446619189999996, 109.72087659999998 20.44565879, 109.720553 20.444726720000002, 109.72013519999999 20.44383285, 109.7196278 20.44298666, 109.71903609999998 20.44219709, 109.7183664 20.44147252, 109.7176258 20.44082061, 109.68543729999999 20.415304099999993, 109.68516449999998 20.415095630000007, 109.6843481 20.41449482, 109.68362539999998 20.414011839999997, 109.68286189999999 20.413596299999995, 109.6820639 20.413251619999997, 109.68123799999998 20.412980630000003, 109.68070389999998 20.412831859999994, 109.67992269999999 20.412649089999995, 109.679129 20.41253227, 109.67880089999998 20.41249794, 109.67795839999998 20.412447119999996))",4bda5d3f-2d83-4d88-93a3-9c7284965074,POINT (109.67174132985126 20.447090724999995),fc98a011-7b97-4d49-9cea-67d6734606d4,2025-10-20 17:04:22,2025-10-20 17:04:22
