action,source_pid,source_name,source_area_km2,retained_pid,retained_name,overlap_area_km2,source_area_coverage,rule
dropped_near_fully_covered,183,北仑锚地,6830.3491846650695,128.0,舟山1号锚地,6830.3491846650695,1.0,single_larger_coverage>=0.950
dropped_near_fully_covered,184,宁波锚地,6830.3491846650695,128.0,舟山1号锚地,6830.3491846650695,1.0,single_larger_coverage>=0.950
partial_overlap_clipped,94,董家口锚地,4872.955562174996,,,9.5367431640625e-13,2.220446049250313e-16,clip_against_larger_retained_areas
dropped_near_fully_covered,179,葫芦岛1号锚地,2502.244850454446,53.0,锦州2号锚地,2499.6837302590056,0.9989764709896495,single_larger_coverage>=0.950
partial_overlap_clipped,18,京唐锚地,1585.2939521009157,,,4.76837158203125e-13,3.3306690738754696e-16,clip_against_larger_retained_areas
partial_overlap_clipped,28,钦州锚地,1268.8138971962637,,,4.76837158203125e-13,3.3306690738754696e-16,clip_against_larger_retained_areas
partial_overlap_clipped,39,漳州锚地,911.3438912859613,,,863.933876476587,0.9479779090388416,clip_against_larger_retained_areas
partial_overlap_clipped,93,青岛2号锚地,903.838428779989,,,1.1920928955078124e-13,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,118,温州1号锚地,857.5097094363113,,,1.1920928955078124e-13,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,58,滨州锚地,841.1231562853118,,,1.1920928955078124e-13,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,96,岚山锚地,776.8078016936279,,,1.1920928955078124e-13,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,87,石岛锚地,711.248553579063,,,1.1920928955078124e-13,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,50,宁德1号锚地,644.6808295458917,,,1.1920928955078124e-13,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,64,鲅鱼圈2号锚地,556.1012798396363,,,517.0906210215499,0.9298497230048884,clip_against_larger_retained_areas
partial_overlap_clipped,166,水东2号锚地,555.6854897745582,,,1.1920928955078124e-13,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,49,罗源湾锚地,506.52193728962465,,,433.82677655180714,0.8564817130590514,clip_against_larger_retained_areas
partial_overlap_clipped,98,陈家港锚地,444.00288687091177,,,5.960464477539062e-14,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,75,龙口2号锚地,439.29354615110435,,,266.32763471234324,0.6062634815507493,clip_against_larger_retained_areas
dropped_near_fully_covered,121,北仑1号锚地,396.69920557389213,151.0,宁波锚地,396.6864058521541,0.9999677344407094,single_larger_coverage>=0.950
dropped_near_fully_covered,182,泉州二号锚地,392.8597782231418,42.0,湄洲湾锚地,392.8597782231418,1.0,single_larger_coverage>=0.950
partial_overlap_clipped,67,丹东锚地,347.5875625039992,,,5.960464477539062e-14,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,74,龙口1号锚地,336.38479813131295,,,1.1920928955078124e-13,3.3306690738754696e-16,clip_against_larger_retained_areas
partial_overlap_clipped,112,乍浦2号锚地,332.94827461178653,,,5.960464477539062e-14,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,41,泉州锚地,321.32195587599904,,,5.960464477539062e-14,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,63,鲅鱼圈1号锚地,307.8233164735496,,,286.2607289625583,0.9299514157731319,clip_against_larger_retained_areas
partial_overlap_clipped,31,阳江1号锚地,307.1481924344347,,,5.960464477539062e-14,2.220446049250313e-16,clip_against_larger_retained_areas
partial_overlap_clipped,34,潮州锚地,299.88538943401085,,,1.7881393432617188e-13,5.551115123125783e-16,clip_against_larger_retained_areas
partial_overlap_clipped,138,洋山1号锚地,275.5947365312186,,,222.11903569147046,0.8059625466261742,clip_against_larger_retained_areas
partial_overlap_clipped,90,海阳锚地,265.5702569274552,,,2.980232238769531e-14,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,145,长江口5号锚地,253.8549440425172,,,2.980232238769531e-14,1.1102230246251565e-16,clip_against_larger_retained_areas
partial_overlap_clipped,52,葫芦岛锚地,229.39348003499995,,,196.00118532789915,0.8544322414830363,clip_against_larger_retained_areas
partial_overlap_clipped,21,台山锚地,202.5494039052395,,,2.980232238769531e-14,1.1102230246251565e-16,clip_against_larger_retained_areas
dropped_near_fully_covered,110,漕泾2号锚地,179.7949171476168,108.0,上海南港2号锚地,179.78050555942505,0.9999198442958213,single_larger_coverage>=0.950
partial_overlap_clipped,22,高栏锚地,161.55680615888014,,,2.980232238769531e-14,2.220446049250313e-16,clip_against_larger_retained_areas
dropped_near_fully_covered,131,大榭2号锚地,136.6970160940279,151.0,宁波锚地,136.6970160940279,1.0,single_larger_coverage>=0.950
dropped_near_fully_covered,136,鼠浪湖2号锚地,124.0594175279743,150.0,马迹山1号锚地,123.57306205168081,0.996079656941934,single_larger_coverage>=0.950
dropped_near_fully_covered,109,漕泾1号锚地,118.90647965910294,151.0,宁波锚地,118.90647965910296,1.0000000000000002,single_larger_coverage>=0.950
partial_overlap_clipped,55,绥中2号锚地,113.89846911270087,,,1.4901161193847656e-14,1.1102230246251565e-16,clip_against_larger_retained_areas
dropped_near_fully_covered,130,大榭1号锚地,106.65451363789799,151.0,宁波锚地,106.654513637898,1.0000000000000002,single_larger_coverage>=0.950
partial_overlap_clipped,107,上海南港1号锚地,104.30966259596111,,,98.75995140502695,0.9467958092010065,clip_against_larger_retained_areas
