cluster_id,lat,lon,count,type,polygon,distance_to_coast,inside_china_land
28,36.02855666919754,120.22753183851414,22,berth,"POLYGON((120.2272098125 36.02840505263158, 120.22796415789473 36.02840505263158, 120.22796415789473 36.028739, 120.2272098125 36.028739, 120.2272098125 36.02840505263158))",3952.671671009267,False
29,29.969534408411292,121.7312126208432,60,berth,"POLYGON((121.72998547619048 29.96854264893617, 121.7327822264151 29.96854264893617, 121.7327822264151 29.970616918918918, 121.72998547619048 29.970616918918918, 121.72998547619048 29.96854264893617))",407.2866330400352,False
32,39.20928773645747,119.00755792424337,221,berth,"POLYGON((119.0039358 39.20680744594595, 119.01075096875 39.20680744594595, 119.01075096875 39.211241125, 119.0039358 39.211241125, 119.0039358 39.20680744594595))",2448.114213107792,True
33,34.47573013047999,119.78649252419355,56,berth,"POLYGON((119.78428866666667 34.47323866666667, 119.78884124324324 34.47323866666667, 119.78884124324324 34.47833010810811, 119.78428866666667 34.47833010810811, 119.78428866666667 34.47323866666667))",1249.226670264629,True
35,34.58924871948256,119.60832021791025,3,berth,"POLYGON((119.60831541509434 34.589153625, 119.60832487500001 34.589153625, 119.60832487500001 34.589333169811326, 119.60831541509434 34.589333169811326, 119.60831541509434 34.589153625))",2341.6219247591357,False
36,38.94636774068348,118.46120550571203,19,berth,"POLYGON((118.46041329166667 38.94623594736842, 118.46146031578947 38.94623594736842, 118.46146031578947 38.94670220879121, 118.46041329166667 38.94670220879121, 118.46041329166667 38.94623594736842))",2640.0920182110613,False
37,38.952631998591514,118.45514038766495,7,berth,"POLYGON((118.45511244117647 38.952569218390806, 118.45517186363637 38.952569218390806, 118.45517186363637 38.95269167272727, 118.45511244117647 38.95269167272727, 118.45511244117647 38.952569218390806))",2779.1846477103363,False
38,39.579940255119794,121.25804394367184,15,berth,"POLYGON((121.25802207500001 39.57991905, 121.2580924516129 39.57991905, 121.2580924516129 39.57996111764706, 121.25802207500001 39.57996111764706, 121.25802207500001 39.57991905))",1865.2074900303367,False
39,38.972878582875,118.45517422334869,56,berth,"POLYGON((118.45503980000001 38.971034157894735, 118.45526181818182 38.971034157894735, 118.45526181818182 38.97403781818182, 118.45503980000001 38.97403781818182, 118.45503980000001 38.971034157894735))",1718.6477861947576,False
40,39.59037271829913,121.2896547449099,9,berth,"POLYGON((121.28963657142856 39.59030487878788, 121.28967287058823 39.59030487878788, 121.28967287058823 39.590425435294115, 121.28963657142856 39.590425435294115, 121.28963657142856 39.59030487878788))",551.5300918491611,False
41,38.98186979288016,118.45516617393675,24,berth,"POLYGON((118.45499055555554 38.98165162790698, 118.45539586666668 38.98165162790698, 118.45539586666668 38.9821445, 118.45499055555554 38.9821445, 118.45499055555554 38.98165162790698))",1685.3982793483312,False
42,38.944595404810215,118.46369559711991,20,berth,"POLYGON((118.46346755882352 38.94427353846154, 118.46420587323944 38.94427353846154, 118.46420587323944 38.94500285416667, 118.46346755882352 38.94500285416667, 118.46346755882352 38.94427353846154))",2316.0721867446155,False
43,38.949723734052355,118.45406729954009,20,berth,"POLYGON((118.4538845 38.94963623529412, 118.45419411764705 38.94963623529412, 118.45419411764705 38.94980745614035, 118.4538845 38.94980745614035, 118.4538845 38.94963623529412))",3090.05126493914,False
44,38.94780489293177,118.45821156489633,25,berth,"POLYGON((118.45794496226415 38.94765243478261, 118.45841039130435 38.94765243478261, 118.45841039130435 38.9479776, 118.45794496226415 38.9479776, 118.45794496226415 38.94765243478261))",2826.7104718147075,False
45,39.20346829423141,119.0160016005065,24,berth,"POLYGON((119.015639 39.20336510526315, 119.01625053125 39.20336510526315, 119.01625053125 39.203669, 119.015639 39.203669, 119.015639 39.20336510526315))",1192.124676887667,True
46,39.20406421374143,119.00821514779271,68,berth,"POLYGON((119.00716208333334 39.20242566666666, 119.01085058333332 39.20242566666666, 119.01085058333332 39.20552417391304, 119.00716208333334 39.20552417391304, 119.00716208333334 39.20242566666666))",1924.1756094641175,True
47,39.21610820162413,119.03422750303291,19,berth,"POLYGON((119.03392325 39.215778, 119.034517 39.215778, 119.034517 39.216336, 119.03392325 39.216336, 119.03392325 39.215778))",732.5255124713576,True
48,38.96356967598545,118.4550866138813,65,berth,"POLYGON((118.45502922222222 38.960509, 118.45528216666666 38.960509, 118.45528216666666 38.964492222222226, 118.45502922222222 38.964492222222226, 118.45502922222222 38.960509))",2004.7796372195396,False
49,38.95819447904989,118.45519030469063,13,berth,"POLYGON((118.45507305882353 38.95800926315789, 118.45532265 38.95800926315789, 118.45532265 38.95830333333333, 118.45507305882353 38.95830333333333, 118.45507305882353 38.95800926315789))",2377.9080399138793,False
50,39.91998433630393,119.67671226270207,7,berth,"POLYGON((119.6765649074074 39.9197670909091, 119.67677970731707 39.9197670909091, 119.67677970731707 39.92019814634146, 119.6765649074074 39.92019814634146, 119.6765649074074 39.9197670909091))",1949.0172278747577,False
51,38.968706029777316,118.45514536480239,25,berth,"POLYGON((118.45494000000001 38.968597307692306, 118.45525475 38.968597307692306, 118.45525475 38.969096377777774, 118.45494000000001 38.969096377777774, 118.45494000000001 38.968597307692306))",1751.3393562830843,False
52,38.97720615771178,118.45510781965106,64,berth,"POLYGON((118.45502669696971 38.976172999999996, 118.45523627659574 38.976172999999996, 118.45523627659574 38.97762024050633, 118.45502669696971 38.97762024050633, 118.45502669696971 38.976172999999996))",1709.6032447613893,False
54,38.95545463378518,118.45522806055578,7,berth,"POLYGON((118.45510431707316 38.95534704878048, 118.45531109302325 38.95534704878048, 118.45531109302325 38.95551210294118, 118.45510431707316 38.95551210294118, 118.45510431707316 38.95534704878048))",2569.5453740502576,False
55,38.966114201340815,118.45513998202927,8,berth,"POLYGON((118.45508627500001 38.965938575, 118.45524084210527 38.965938575, 118.45524084210527 38.966362412844035, 118.45508627500001 38.966362412844035, 118.45508627500001 38.965938575))",1844.7216708110514,False
57,38.96724305285539,117.78860827353701,4,berth,"POLYGON((117.78800958333333 38.967117767123284, 117.78912627397261 38.967117767123284, 117.78912627397261 38.967332850000005, 117.78800958333333 38.967332850000005, 117.78800958333333 38.967117767123284))",2473.852344274657,False
58,38.98673356422,118.4551937742644,12,berth,"POLYGON((118.4550712244898 38.986542666666665, 118.45534883333333 38.986542666666665, 118.45534883333333 38.986973612244896, 118.4550712244898 38.986973612244896, 118.4550712244898 38.986542666666665))",1663.8543164154707,False
59,39.57628513229596,121.26231265495551,199,berth,"POLYGON((121.25889767692307 39.575, 121.26467133333334 39.575, 121.26467133333334 39.57771215384615, 121.25889767692307 39.57771215384615, 121.25889767692307 39.575))",1155.0560803313915,False
60,31.64175084913793,121.22541851293103,2,berth,"POLYGON((121.22541675 31.64174925, 121.22542027586206 31.64174925, 121.22542027586206 31.641752448275863, 121.22541675 31.641752448275863, 121.22541675 31.64174925))",2387.2676054593276,False
