cluster_id,lat,lon,count,type,polygon,distance_to_coast
0,35.28385725721925,119.6703211425611,195,anchorage,"POLYGON ((119.77575752173914 35.1962198173913, 119.7249668283582 35.21051432835821, 119.62844432682927 35.24796108292683, 119.59321396825396 35.26527098412698, 119.63462674683544 35.335914525316454, 119.64162558000001 35.347845533333334, 119.65178572 35.36376796, 119.65861008333334 35.37100643055555, 119.72821196874999 35.33246636458333, 119.75235289873419 35.30588856962025, 119.76561881666666 35.279369116666665, 119.77575752173914 35.1962198173913))",18592.434685943936
1,39.1558384550078,119.15324068079876,433,anchorage,"POLYGON ((119.09018837878789 39.09658, 119.08906529292929 39.097576272727274, 119.08325802739726 39.175312863013694, 119.1347899030733 39.202837371158395, 119.2973632909091 39.20794110303031, 119.3293155 39.192986, 119.35089711842106 39.178577276315785, 119.29724105357143 39.15409798214286, 119.15903187837837 39.10833760810811, 119.15347007692307 39.107182807692304, 119.15275955434781 39.10705525, 119.09018837878789 39.09658))",14821.75266691401
7,39.20824626816053,118.99865744368071,107,anchorage,"POLYGON ((118.98188268367346 39.19919808163265, 118.97929754545456 39.20002849494949, 118.97927755905512 39.20014429133858, 118.9798752295082 39.205171786885245, 118.99462533653846 39.21568344230769, 118.99491702173913 39.21572143478261, 118.9960734 39.2158243, 118.9962207080292 39.21583377372263, 119.03658746938775 39.217367959183676, 119.014604953125 39.201925578125, 119.0130472112676 39.2011611971831, 118.98188268367346 39.19919808163265))",3131.0089295315074
9,38.92190839745958,118.2802219545184,1038,anchorage,"POLYGON ((118.11773327419355 38.837404387096775, 118.03451428571428 38.86417578571429, 117.97260848611111 38.90108268055556, 117.95222424509804 38.965974627450976, 117.95719665714286 38.97383251428572, 117.97532810077519 38.98974287596899, 118.06429325490197 39.0025196127451, 118.41711095454545 39.00726836363636, 118.45504462068965 39.00477813793104, 118.46852396855346 38.98684544654088, 118.48787767391305 38.94761561956522, 118.45878637931035 38.88656981034483, 118.4510606557377 38.87136126229508, 118.4480147536232 38.86975484057971, 118.11773327419355 38.837404387096775))",16425.54363229834
10,38.90258276375318,118.66703464927332,480,anchorage,"POLYGON ((118.70698488235294 38.83842489705882, 118.61706428571428 38.847312274725276, 118.58782414746544 38.85227180645162, 118.57053392548076 38.85690103605769, 118.56258586792454 38.859522635220124, 118.55959830508475 38.86054545762712, 118.55907750000001 38.86073221621621, 118.55347983653846 38.86722425, 118.55399889589042 38.87572480547945, 118.55869698333332 38.90156540833333, 118.64165820895522 38.938864194029854, 118.65257392356689 38.941736675159234, 118.71078890109891 38.94734174725275, 118.79727183870968 38.92500370967742, 118.82101044000001 38.88262373333334, 118.80092069999999 38.85049927777778, 118.70980253488372 38.83873169767442, 118.70698488235294 38.83842489705882))",12833.871472837911
11,39.541923669659106,121.05515434469503,14,anchorage,"POLYGON ((121.0417325076923 39.515428, 121.03571206593408 39.570569175824176, 121.06528207843138 39.55014647058823, 121.068252896 39.522409752, 121.0417325076923 39.515428))",18826.948470841646
13,39.83556069863435,119.7798429154095,127,anchorage,"POLYGON ((119.81470611111112 39.762719470085464, 119.79595673239437 39.76885930985915, 119.72593218888889 39.86505021111111, 119.71862435849057 39.87794466037736, 119.72192282258065 39.88364903225806, 119.88130092857143 39.84346166071429, 119.86401860000001 39.79133788717949, 119.81470611111112 39.762719470085464))",16474.545976781705
14,39.34562173836981,121.19087987180477,155,anchorage,"POLYGON ((121.1754414054054 39.32119410810811, 121.16665339759037 39.32221275903615, 121.09683065934065 39.358108197802196, 121.11359198245614 39.369580105263154, 121.29131959060403 39.35300022147651, 121.25414304385964 39.32858578070176, 121.1754414054054 39.32119410810811))",10093.932414675513
18,39.811793333111495,119.62615042335098,71,anchorage,"POLYGON ((119.61647544285715 39.74900797142857, 119.5975155047619 39.76298457142857, 119.59401392391304 39.78802058695652, 119.59743960493827 39.81506892592593, 119.60062216666668 39.82767555555555, 119.61040901250001 39.8568968, 119.63103606451612 39.86001925806452, 119.63187207070706 39.858441393939394, 119.64177758536584 39.82938530487805, 119.648272109375 39.807393359375, 119.65831259663865 39.763258579831934, 119.61647544285715 39.74900797142857))",10633.970251853632
22,31.496700118824016,121.41107432200573,198,anchorage,"POLYGON ((121.47051424203822 31.42012993630573, 121.37024949275363 31.49837929710145, 121.36742808064517 31.538276, 121.38562758730158 31.535339650793652, 121.3939986 31.53337215, 121.39789387037037 31.53168324691358, 121.40795781249999 31.527170175, 121.41626335294119 31.522575602941174, 121.47478477173914 31.44565764130435, 121.47837525125628 31.426754748743715, 121.47388870535714 31.42206469642857, 121.47175046745562 31.420533355029583, 121.47051424203822 31.42012993630573))",4771.762088776515
24,27.931659198432968,121.19757139488304,126,anchorage,"POLYGON ((121.31715002877698 27.862214244604317, 121.24399274074074 27.867347555555554, 121.11679 27.899737651515153, 121.110919625 27.940778024999997, 121.15376743859649 27.956442561403506, 121.15435217977527 27.956440640449436, 121.19427152112675 27.95563543661972, 121.29660346551724 27.92093822413793, 121.3314672745098 27.892707901960787, 121.335681984375 27.863372109375, 121.31715002877698 27.862214244604317))",7241.732572295374
28,38.980036191857685,121.75399917332476,144,anchorage,"POLYGON ((121.84745824590165 38.94805642622951, 121.65524606779661 38.96652123728814, 121.69867389855072 39.0178591884058, 121.74584932727272 39.023767672727274, 121.8481543649289 38.94993491943128, 121.84815690217393 38.94980197826087, 121.84768106521739 38.9483537826087, 121.84761337894737 38.94821285263158, 121.84745824590165 38.94805642622951))",3514.08789844446
30,26.247662675404285,119.85811482866079,191,anchorage,"POLYGON ((119.84168540677966 26.174287101694915, 119.82958223728814 26.177769932203393, 119.80509296969697 26.188104939393938, 119.77707619 26.23501524, 119.79308267708332 26.264384979166667, 119.79346133846154 26.26494013846154, 119.85548924237429 26.326311408903546, 119.86121430187143 26.32443662815297, 119.87465144847329 26.319899797709922, 119.95205909090909 26.256950506493506, 119.9453686484375 26.2407753515625, 119.93509945263158 26.228832252631577, 119.91715212745098 26.21023685294118, 119.86934924175823 26.182450164835164, 119.84168540677966 26.174287101694915))",7911.089307598252
31,36.77399902505047,122.48455010292882,278,anchorage,"POLYGON ((122.41612609375 36.5787495625, 122.37771578947367 36.591525092105265, 122.29133482178217 36.66675497029703, 122.28915718032786 36.67998186885246, 122.37468011926606 36.86496190825688, 122.4387579423077 36.88748899038462, 122.6392871 36.921090125, 122.66900035169492 36.89465105508474, 122.6939164883721 36.819966860465115, 122.7075934375 36.76667815625, 122.70203234042555 36.62289434042553, 122.50280547099567 36.579395406060605, 122.41612609375 36.5787495625))",13944.225018712828
