port_id,lat,lon,berth_count,polygon
0,36.01968716238811,120.21791027994517,9,"MULTIPOLYGON (((120.22720981249998 36.02840505263157, 120.22720981249998 36.02873900000001, 120.22796415789472 36.02873900000001, 120.22796415789472 36.02840505263157, 120.22720981249998 36.02840505263157)), ((120.23074341025641 36.02652143589743, 120.23120364705879 36.02652143589743, 120.23120364705879 36.02625771212121, 120.23074341025641 36.02625771212121, 120.23074341025641 36.02652143589743)), ((120.2200842222222 36.02462244444445, 120.2200842222222 36.02397678461537, 120.21926049122807 36.02397678461537, 120.21926049122807 36.02462244444445, 120.2200842222222 36.02462244444445)), ((120.22172315384614 36.02564965384615, 120.22172315384614 36.025714792452824, 120.22174083018868 36.025714792452824, 120.22174083018868 36.02564965384615, 120.22172315384614 36.02564965384615)), ((120.2228654 36.02647252500001, 120.2228654 36.027137047619036, 120.22391180952381 36.027137047619036, 120.22391180952381 36.02647252500001, 120.2228654 36.02647252500001)), ((120.21364057142856 36.020202285714284, 120.21364057142856 36.02057378571428, 120.21398578571429 36.02057378571428, 120.21398578571429 36.020202285714284, 120.21364057142856 36.020202285714284)), ((120.21434583606555 36.01814491803278, 120.2147194166667 36.01814491803278, 120.2147194166667 36.017917708333336, 120.21434583606555 36.017917708333336, 120.21434583606555 36.01814491803278)), ((120.21567569047619 36.01700597619046, 120.21656422916665 36.01700597619046, 120.21656422916665 36.01537457894737, 120.21567569047619 36.01537457894737, 120.21567569047619 36.01700597619046)), ((120.21099910526317 36.01195488235294, 120.21007158823527 36.01195488235294, 120.21007158823527 36.012739473684206, 120.21099910526317 36.012739473684206, 120.21099910526317 36.01195488235294)))"
1,29.97217706946721,121.7366835112708,5,"MULTIPOLYGON (((121.73976107692305 29.971895428571422, 121.73683842857142 29.971895428571422, 121.73683842857142 29.974040600000002, 121.73976107692305 29.974040600000002, 121.73976107692305 29.971895428571422)), ((121.72646250000001 29.965633122448978, 121.72646250000001 29.96538368852459, 121.72594666666664 29.96538368852459, 121.72594666666664 29.965633122448978, 121.72646250000001 29.965633122448978)), ((121.72849532142857 29.967284666666668, 121.72849532142857 29.96772540425531, 121.72878077777777 29.96772540425531, 121.72878077777777 29.967284666666668, 121.72849532142857 29.967284666666668)), ((121.72998547619049 29.96875725531915, 121.73014527083332 29.96875725531915, 121.73014527083332 29.96854264893617, 121.72998547619049 29.96854264893617, 121.72998547619049 29.96875725531915)), ((121.73126663157893 29.969548315789474, 121.73126663157893 29.97061691891891, 121.73278222641511 29.97061691891891, 121.73278222641511 29.969548315789474, 121.73126663157893 29.969548315789474)))"
2,34.43179320754496,119.79529033813246,2,"MULTIPOLYGON (((119.79375766666665 34.428436181818185, 119.7940341 34.428436181818185, 119.7940341 34.42819868750001, 119.79375766666665 34.42819868750001, 119.79375766666665 34.428436181818185)), ((119.79500486956522 34.43074560869565, 119.79500486956522 34.43312175, 119.79568851923075 34.43312175, 119.79568851923075 34.43074560869565, 119.79500486956522 34.43074560869565)))"
3,39.2070441099495,119.00027171294626,20,"MULTIPOLYGON (((119.0039358 39.2074037, 119.0039358 39.211241124999994, 119.01075096875 39.211241124999994, 119.01085058333332 39.20242566666666, 119.00716208333333 39.20242566666666, 119.00716208333333 39.2074037, 119.0039358 39.2074037)), ((119.01242533333335 39.20191095652173, 119.0144514347826 39.20191095652173, 119.0144514347826 39.20130363829787, 119.01242533333335 39.20130363829787, 119.01242533333335 39.20191095652173)), ((119.01563899999998 39.20336510526315, 119.01563899999998 39.203669000000005, 119.01625053125 39.203669000000005, 119.01625053125 39.20336510526315, 119.01563899999998 39.20336510526315)), ((119.01721157142858 39.20511315789473, 119.01721157142858 39.20582140384615, 119.01831980769232 39.20582140384615, 119.01831980769232 39.20511315789473, 119.01721157142858 39.20511315789473)), ((119.01935289285716 39.207050607142854, 119.01935289285716 39.208361625, 119.02035837500001 39.208361625, 119.02035837500001 39.207050607142854, 119.01935289285716 39.207050607142854)), ((118.99417348913045 39.21475753125, 118.99417348913045 39.215991343749984, 118.99893167777778 39.215991343749984, 118.99893167777778 39.21475753125, 118.99485558333333 39.21475753125, 118.99485558333333 39.212602, 118.99479888111888 39.21475753125, 118.99417348913045 39.21475753125)), ((118.99963257142858 39.212778428571426, 118.99974176785715 39.212778428571426, 118.99974176785715 39.21169628571428, 118.99963257142858 39.21169628571428, 118.99963257142858 39.212778428571426)), ((118.99996466666667 39.2100616532258, 119.0002069919355 39.2100616532258, 119.0002069919355 39.209662, 118.99996466666667 39.209662, 118.99996466666667 39.2100616532258)), ((118.99273918918918 39.20278697435897, 118.99420548717947 39.20278697435897, 118.99420548717947 39.202407918918915, 118.99273918918918 39.202407918918915, 118.99273918918918 39.20278697435897)), ((118.99735556756754 39.20367247826087, 118.99735556756754 39.20368129054053, 118.99738334782606 39.20368129054053, 118.99738334782606 39.20367247826087, 118.99735556756754 39.20367247826087)), ((118.99029336734694 39.20805312244898, 118.99029336734694 39.20869054285715, 118.99249065714288 39.20869054285715, 118.99249065714288 39.20805312244898, 118.99029336734694 39.20805312244898)), ((118.99402366037735 39.20900905660377, 118.99402366037735 39.21001844444444, 118.99469777777777 39.21001844444444, 118.99469777777777 39.20900905660377, 118.99402366037735 39.20900905660377)), ((118.98057017964068 39.198922311377245, 118.98057017964068 39.19945496341463, 118.98235171428573 39.19945496341463, 118.98235171428573 39.198922311377245, 118.98057017964068 39.198922311377245)), ((118.97903233333335 39.20001172727274, 118.97903233333335 39.201082416666665, 118.97941436363632 39.201082416666665, 118.97941436363632 39.20001172727274, 118.97903233333335 39.20001172727274)), ((118.98380558333331 39.19989688461538, 118.98380558333331 39.201200879999995, 118.98823444000001 39.201200879999995, 118.98823444000001 39.19989688461538, 118.98380558333331 39.19989688461538)), ((118.97877267499999 39.204847698113205, 118.97877267499999 39.20684825581395, 118.98577488372095 39.20684825581395, 118.98577488372095 39.204847698113205, 118.97877267499999 39.204847698113205)))"
4,34.47578438738739,119.78656495495498,1,"POLYGON ((119.78428866666667 34.47323866666667, 119.78428866666667 34.47833010810812, 119.78884124324325 34.47833010810812, 119.78884124324325 34.47323866666667, 119.78428866666667 34.47323866666667))"
5,34.442531821809986,119.79593709381375,2,"POLYGON ((119.79554309090909 34.44461026086957, 119.79576007142857 34.44612339999999, 119.79576007142857 34.44461026086957, 119.79635406666665 34.44461026086957, 119.79635406666665 34.44021545454546, 119.79554309090909 34.44021545454546, 119.79554309090909 34.44461026086957))"
6,34.589525017564014,119.60760299866048,3,"MULTIPOLYGON (((119.6120666 34.58778016129032, 119.61216325 34.58778016129032, 119.61216325 34.587550799999995, 119.6120666 34.587550799999995, 119.6120666 34.58778016129032)), ((119.60606175 34.59012616666666, 119.60575408771929 34.59012616666666, 119.60575408771929 34.59032028947368, 119.60606175 34.59032028947368, 119.60606175 34.59012616666666)), ((119.60831541509434 34.589333169811326, 119.60832487500001 34.589333169811326, 119.60832487500001 34.589153624999994, 119.60831541509434 34.589153624999994, 119.60831541509434 34.589333169811326)))"
7,38.97945777677417,118.4556808631602,22,"MULTIPOLYGON (((118.45794496226415 38.947652434782604, 118.45794496226415 38.947977599999994, 118.45841039130437 38.947977599999994, 118.45841039130437 38.947652434782604, 118.45794496226415 38.947652434782604)), ((118.46041329166667 38.94670220879121, 118.46146031578947 38.94670220879121, 118.46146031578947 38.946235947368415, 118.46041329166667 38.946235947368415, 118.46041329166667 38.94670220879121)), ((118.46346755882351 38.94500285416667, 118.46420587323942 38.94500285416667, 118.46420587323942 38.94427353846154, 118.46346755882351 38.94427353846154, 118.46346755882351 38.94500285416667)), ((118.45494000000001 38.968597307692306, 118.45500299999999 38.984668400000004, 118.45534883333333 38.986973612244896, 118.45531109302325 38.95534704878048, 118.45494000000001 38.968597307692306)), ((118.45485200000002 38.99945938181817, 118.45485200000002 39.00617276470588, 118.45526468421053 39.00617276470588, 118.45532425000002 38.993290249999994, 118.45485200000002 38.99945938181817)), ((118.45474233333331 38.98998216666667, 118.45474233333331 38.99059535714285, 118.45536424999999 38.99059535714285, 118.45536424999999 38.98998216666667, 118.45474233333331 38.98998216666667)), ((118.45511244117644 38.9525692183908, 118.45511244117644 38.95269167272726, 118.45517186363634 38.95269167272726, 118.45517186363634 38.9525692183908, 118.45511244117644 38.9525692183908)), ((118.45388450000002 38.949636235294115, 118.45388450000002 38.94980745614035, 118.45419411764705 38.94980745614035, 118.45419411764705 38.949636235294115, 118.45388450000002 38.949636235294115)))"
8,39.576356754405545,121.26178380057011,2,"MULTIPOLYGON (((121.258022075 39.579919049999994, 121.258022075 39.57996111764706, 121.2580924516129 39.57996111764706, 121.2580924516129 39.579919049999994, 121.258022075 39.579919049999994)), ((121.25889767692306 39.57771215384616, 121.26467133333334 39.57771215384616, 121.26467133333334 39.575, 121.25889767692306 39.575, 121.25889767692306 39.57771215384616)))"
9,39.585994101734556,121.2893948184461,2,"POLYGON ((121.28711030952381 39.588102571428564, 121.28963657142856 39.588102571428564, 121.2896728705882 39.5904254352941, 121.2896728705882 39.588102571428564, 121.29167816666667 39.588102571428564, 121.29167816666667 39.583873050761426, 121.28711030952381 39.583873050761426, 121.28711030952381 39.588102571428564))"
