cluster_id,lat,lon,count,dwell_minutes,center_method,type,polygon,distance_to_coast,inside_china_land
0,36.02856796969697,120.22749515151516,22,26605.666666666668,duration_weighted_stop_medoid,berth,"POLYGON((120.2272098125 36.02840505263158, 120.22796415789473 36.02840505263158, 120.22796415789473 36.028739, 120.2272098125 36.028739, 120.2272098125 36.02840505263158))",3954.508275790126,False
1,29.9686599375,121.73007774999999,14,15230.333333333334,duration_weighted_stop_medoid,berth,"POLYGON((121.72998547619048 29.96854264893617, 121.73014527083332 29.96854264893617, 121.73014527083332 29.968757255319147, 121.72998547619048 29.968757255319147, 121.72998547619048 29.96854264893617))",344.36732480693183,False
3,34.4283146,119.7939092,32,22534.86666666667,duration_weighted_stop_medoid,berth,"POLYGON((119.79375766666668 34.4281986875, 119.7940341 34.4281986875, 119.7940341 34.428436181818185, 119.79375766666668 34.428436181818185, 119.79375766666668 34.4281986875))",6649.3589232478025,True
4,39.21045625,119.00892791666666,186,215097.15000000002,duration_weighted_stop_medoid,berth,"POLYGON((119.0039358 39.2074037, 119.01075096875 39.2074037, 119.01075096875 39.211241125, 119.0039358 39.211241125, 119.0039358 39.2074037))",2433.0730358412857,True
5,34.475525634920636,119.78628074603174,56,62845.450000000004,duration_weighted_stop_medoid,berth,"POLYGON((119.78428866666667 34.47323866666667, 119.78884124324324 34.47323866666667, 119.78884124324324 34.47833010810811, 119.78428866666667 34.47833010810811, 119.78428866666667 34.47323866666667))",1285.524565969931,True
6,34.442998,119.79618388235295,27,37360.066666666666,duration_weighted_stop_medoid,berth,"POLYGON((119.79554309090909 34.44021545454546, 119.79635406666667 34.44021545454546, 119.79635406666667 34.44461026086957, 119.79554309090909 34.44461026086957, 119.79554309090909 34.44021545454546))",4734.379703914702,True
7,39.20828947619048,119.01015265079364,15,14020.566666666666,duration_weighted_stop_medoid,berth,"POLYGON((119.00997685 39.2080997, 119.01036482352941 39.2080997, 119.01036482352941 39.20860946153846, 119.00997685 39.20860946153846, 119.00997685 39.2080997))",2132.7259386106807,True
8,34.589259363636366,119.60832036363637,3,3228.616666666667,duration_weighted_stop_medoid,berth,"POLYGON((119.60831541509434 34.589153625, 119.60832487500001 34.589153625, 119.60832487500001 34.589333169811326, 119.60831541509434 34.589333169811326, 119.60831541509434 34.589153625))",2342.4377284836505,False
9,38.946313625,118.4612499375,19,22028.716666666664,duration_weighted_stop_medoid,berth,"POLYGON((118.46041329166667 38.94623594736842, 118.46146031578947 38.94623594736842, 118.46146031578947 38.94670220879121, 118.46041329166667 38.94670220879121, 118.46041329166667 38.94623594736842))",2639.6590613399385,False
10,38.9525831,118.45517118571429,7,8368.383333333333,duration_weighted_stop_medoid,berth,"POLYGON((118.45511244117647 38.952569218390806, 118.45517186363637 38.952569218390806, 118.45517186363637 38.95269167272727, 118.45511244117647 38.95269167272727, 118.45511244117647 38.952569218390806))",2779.6964175172693,False
11,39.57993755,121.25803563333334,15,38927.05,duration_weighted_stop_medoid,berth,"POLYGON((121.25802207500001 39.57991905, 121.2580924516129 39.57991905, 121.2580924516129 39.57996111764706, 121.25802207500001 39.57996111764706, 121.25802207500001 39.57991905))",1865.553636936765,False
12,38.97132482051282,118.45520733333332,18,24619.1,duration_weighted_stop_medoid,berth,"POLYGON((118.45504735185185 38.971034157894735, 118.45526181818182 38.971034157894735, 118.45526181818182 38.971486666666664, 118.45504735185185 38.971486666666664, 118.45504735185185 38.971034157894735))",1720.8634641884528,False
13,39.590376773006135,121.28965054601225,9,27355.583333333332,duration_weighted_stop_medoid,berth,"POLYGON((121.28963657142856 39.59030487878788, 121.28967287058823 39.59030487878788, 121.28967287058823 39.590425435294115, 121.28963657142856 39.590425435294115, 121.28963657142856 39.59030487878788))",552.2735782697348,False
14,38.98183034567901,118.45515754320986,24,19708.616666666665,duration_weighted_stop_medoid,berth,"POLYGON((118.45499055555554 38.98165162790698, 118.45539586666668 38.98165162790698, 118.45539586666668 38.9821445, 118.45499055555554 38.9821445, 118.45499055555554 38.98165162790698))",1686.5085247037332,False
15,38.944983086206896,118.4640568275862,20,28754.86666666667,duration_weighted_stop_medoid,berth,"POLYGON((118.46346755882352 38.94427353846154, 118.46420587323944 38.94427353846154, 118.46420587323944 38.94500285416667, 118.46346755882352 38.94500285416667, 118.46346755882352 38.94427353846154))",2318.5594017290114,False
16,38.9497427,118.45412000000002,20,24434.999999999996,duration_weighted_stop_medoid,berth,"POLYGON((118.4538845 38.94963623529412, 118.45419411764705 38.94963623529412, 118.45419411764705 38.94980745614035, 118.4538845 38.94980745614035, 118.4538845 38.94963623529412))",3083.6118608595975,False
17,38.947784999999996,118.45825825,25,24346.199999999997,duration_weighted_stop_medoid,berth,"POLYGON((118.45794496226415 38.94765243478261, 118.45841039130435 38.94765243478261, 118.45841039130435 38.9479776, 118.45794496226415 38.9479776, 118.45794496226415 38.94765243478261))",2823.6211433253434,False
18,38.97367755263158,118.45516576315791,38,28868.833333333332,duration_weighted_stop_medoid,berth,"POLYGON((118.45503980000001 38.972685299999995, 118.45525860000001 38.972685299999995, 118.45525860000001 38.97403781818182, 118.45503980000001 38.97403781818182, 118.45503980000001 38.972685299999995))",1716.5552266746424,False
19,39.20344011111111,119.01600706666666,24,16273.31666666667,duration_weighted_stop_medoid,berth,"POLYGON((119.015639 39.20336510526315, 119.01625053125 39.20336510526315, 119.01625053125 39.203669, 119.015639 39.203669, 119.015639 39.20336510526315))",1189.1305233445644,True
20,39.20446642857143,119.00746057142858,68,74309.65000000001,duration_weighted_stop_medoid,berth,"POLYGON((119.00716208333334 39.20242566666666, 119.01085058333332 39.20242566666666, 119.01085058333332 39.20552417391304, 119.00716208333334 39.20552417391304, 119.00716208333334 39.20242566666666))",2025.889529262426,True
21,39.21609275862069,119.03414706896551,19,12956.183333333332,duration_weighted_stop_medoid,berth,"POLYGON((119.03392325 39.215778, 119.034517 39.215778, 119.034517 39.216336, 119.03392325 39.216336, 119.03392325 39.215778))",738.0817195738783,True
22,38.96200658762886,118.4551459072165,18,21484.966666666664,duration_weighted_stop_medoid,berth,"POLYGON((118.4550389 38.960509, 118.45528216666666 38.960509, 118.45528216666666 38.96216121875, 118.4550389 38.96216121875, 118.4550389 38.960509))",2110.47382357178,False
23,38.95820273170732,118.45523090243901,13,12469.05,duration_weighted_stop_medoid,berth,"POLYGON((118.45507305882353 38.95800926315789, 118.45532265 38.95800926315789, 118.45532265 38.95830333333333, 118.45507305882353 38.95830333333333, 118.45507305882353 38.95800926315789))",2373.400483303064,False
24,39.9200720754717,119.6767431509434,7,10578.166666666666,duration_weighted_stop_medoid,berth,"POLYGON((119.6765649074074 39.9197670909091, 119.67677970731707 39.9197670909091, 119.67677970731707 39.92019814634146, 119.6765649074074 39.92019814634146, 119.6765649074074 39.9197670909091))",1936.5193884889215,False
25,38.96871393442623,118.45514906557376,25,20914.68333333333,duration_weighted_stop_medoid,berth,"POLYGON((118.45494000000001 38.968597307692306, 118.45525475 38.968597307692306, 118.45525475 38.969096377777774, 118.45494000000001 38.969096377777774, 118.45494000000001 38.968597307692306))",1750.7617313727321,False
26,38.97720117857143,118.45511096428572,64,62292.316666666666,duration_weighted_stop_medoid,berth,"POLYGON((118.45502669696971 38.976172999999996, 118.45523627659574 38.976172999999996, 118.45523627659574 38.97762024050633, 118.45502669696971 38.97762024050633, 118.45502669696971 38.976172999999996))",1709.272217621646,False
27,38.94346063414634,118.4467070487805,38,44827.4,duration_weighted_stop_medoid,berth,"POLYGON((118.44363578571428 38.942019625, 118.44951274736842 38.942019625, 118.44951274736842 38.94496042857143, 118.44363578571428 38.94496042857143, 118.44363578571428 38.942019625))",3936.1937298592943,False
28,38.95546255102041,118.45527336734693,7,11444.3,duration_weighted_stop_medoid,berth,"POLYGON((118.45510431707316 38.95534704878048, 118.45531109302325 38.95534704878048, 118.45531109302325 38.95551210294118, 118.45510431707316 38.95551210294118, 118.45510431707316 38.95534704878048))",2564.6071323472174,False
29,38.96620921686747,118.45518392771083,8,10743.066666666668,duration_weighted_stop_medoid,berth,"POLYGON((118.45508627500001 38.965938575, 118.45524084210527 38.965938575, 118.45524084210527 38.966362412844035, 118.45508627500001 38.966362412844035, 118.45508627500001 38.965938575))",1835.4780188676232,False
31,38.967117767123284,117.78912627397261,4,4001.05,duration_weighted_stop_medoid,berth,"POLYGON((117.78800958333333 38.967117767123284, 117.78912627397261 38.967117767123284, 117.78912627397261 38.967332850000005, 117.78800958333333 38.967332850000005, 117.78800958333333 38.967117767123284))",2523.0691504496485,False
32,38.98673131914894,118.45520038297872,12,11145.883333333333,duration_weighted_stop_medoid,berth,"POLYGON((118.4550712244898 38.986542666666665, 118.45534883333333 38.986542666666665, 118.45534883333333 38.986973612244896, 118.4550712244898 38.986973612244896, 118.4550712244898 38.986542666666665))",1663.127423529077,False
33,39.576325,121.262405,199,166489.5,duration_weighted_stop_medoid,berth,"POLYGON((121.25889767692307 39.575, 121.26467133333334 39.575, 121.26467133333334 39.57771215384615, 121.25889767692307 39.57771215384615, 121.25889767692307 39.575))",1152.2445099519487,False
35,40.2523666375,122.08205977499999,190,241000.5,duration_weighted_stop_medoid,berth,"POLYGON((122.081763625 40.246916285714285, 122.091679 40.246916285714285, 122.091679 40.26135955434783, 122.081763625 40.26135955434783, 122.081763625 40.246916285714285))",2295.9370417446894,False
36,29.96549193939394,121.72627675757576,55,86552.36666666667,duration_weighted_stop_medoid,berth,"POLYGON((121.72594666666666 29.96538368852459, 121.7264625 29.96538368852459, 121.7264625 29.96563312244898, 121.72594666666666 29.96563312244898, 121.72594666666666 29.96538368852459))",147.34235063140258,False
38,38.96738914423077,118.47184888461538,161,281037.7666666667,duration_weighted_stop_medoid,berth,"POLYGON((118.46927111111111 38.960871921875, 118.47720662765957 38.960871921875, 118.47720662765957 38.970386, 118.46927111111111 38.970386, 118.46927111111111 38.960871921875))",114.27162972531528,False
40,29.97054466292135,122.15078051685393,53,67108.95000000001,duration_weighted_stop_medoid,berth,"POLYGON((122.150232 29.9702965, 122.15179982914573 29.9702965, 122.15179982914573 29.971846777777778, 122.150232 29.971846777777778, 122.150232 29.9702965))",3660.416561724206,False
41,31.024236609375,121.486345109375,33,28667.983333333334,duration_weighted_stop_medoid,berth,"POLYGON((121.48603305633804 31.02332460606061, 121.48663184848485 31.02332460606061, 121.48663184848485 31.02433825, 121.48603305633804 31.02433825, 121.48603305633804 31.02332460606061))",27671.1719958002,True
42,31.04006892,121.47640691999999,81,39140.50000000001,duration_weighted_stop_medoid,berth,"POLYGON((121.475288 31.039779199999998, 121.47699480000001 31.039779199999998, 121.47699480000001 31.041509400000002, 121.475288 31.041509400000002, 121.475288 31.039779199999998))",29942.696466801535,True
43,26.72602115384615,119.73616476923077,54,39860.95,duration_weighted_stop_medoid,berth,"POLYGON((119.73609817647059 26.7259164, 119.73629766666666 26.7259164, 119.73629766666666 26.726207, 119.73609817647059 26.726207, 119.73609817647059 26.7259164))",1404.1748275013765,False
44,31.133493692307695,121.45783084615384,10,2505.75,duration_weighted_stop_medoid,berth,"POLYGON((121.45754916666665 31.132414, 121.45992859999998 31.132414, 121.45992859999998 31.1335325, 121.45754916666665 31.1335325, 121.45754916666665 31.132414))",31745.730721924017,True
46,26.0411542,119.50263850000002,29,31001.216666666667,duration_weighted_stop_medoid,berth,"POLYGON((119.502072 26.040309614285714, 119.50302636206897 26.040309614285714, 119.50302636206897 26.042718809523812, 119.502072 26.042718809523812, 119.502072 26.040309614285714))",232.05310722921007,False
49,31.500971693779903,121.37298716746412,3,7562.533333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.3729786981132 31.500971693779903, 121.37381081818181 31.500971693779903, 121.37381081818181 31.501492454545453, 121.3729786981132 31.501492454545453, 121.3729786981132 31.500971693779903))",3242.335259595585,False
51,39.215804730337084,118.9969772022472,69,115839.63333333335,duration_weighted_stop_medoid,berth,"POLYGON((118.99417348913043 39.21475753125, 118.99893167777779 39.21475753125, 118.99893167777779 39.21599134375, 118.99417348913043 39.21599134375, 118.99417348913043 39.21475753125))",3952.776217782963,True
53,38.98517462831859,117.7388952920354,15,22895.833333333336,duration_weighted_stop_medoid,berth,"POLYGON((117.73838953333333 38.98509847619047, 117.73926379310345 38.98509847619047, 117.73926379310345 38.985410599999994, 117.73838953333333 38.985410599999994, 117.73838953333333 38.98509847619047))",317.29048347970155,True
54,29.97346655555556,121.73853333333334,48,91436.28333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.73683842857143 29.97189542857143, 121.73976107692307 29.97189542857143, 121.73976107692307 29.974040600000002, 121.73683842857143 29.974040600000002, 121.73683842857143 29.97189542857143))",823.3975578555277,False
