cluster_id,lat,lon,count,type,polygon,distance_to_coast
0,35.28385725721925,119.6703211425611,195,anchorage,"POLYGON ((119.65011755802468 35.36416195321818, 119.65831439584804 35.372856060157204, 119.69260893437294 35.351914905009124, 119.67524273597644 35.34625220656889, 119.67907427479813 35.3421702046668, 119.6799536537732 35.33960445628034, 119.67824492349745 35.3370077766424, 119.68732136743292 35.33624908918712, 119.6900487763407 35.344906141166724, 119.69043417411801 35.34488278899372, 119.692612746084 35.32589985793411, 119.69306072979414 35.32572767480317, 119.70990899177413 35.33017220826208, 119.73564346524375 35.335307206867505, 119.73638357244525 35.33308681815248, 119.713106974138 35.32739672072468, 119.71055468493297 35.31721920901707, 119.70422967192161 35.31423337055481, 119.70384401479787 35.310152711453505, 119.73843495951404 35.311449349988585, 119.75357972350055 35.30692736607742, 119.7696287752271 35.274843552686406, 119.74828694330168 35.28969639401332, 119.73015885703336 35.30439484986395, 119.7264130465835 35.30033463537876, 119.7032374666442 35.29990079283569, 119.6812924433618 35.262086519369205, 119.68414041657991 35.26146642794012, 119.68772586814754 35.25812197826547, 119.688397735507 35.25530381041714, 119.69577285687078 35.25240709288972, 119.6985446824175 35.25325176506935, 119.71041551952078 35.247263058279664, 119.73173807201982 35.241554256456716, 119.73102235877869 35.23950572694254, 119.71299641465174 35.24309511623556, 119.70929625267678 35.22230233062931, 119.71418105374796 35.2197852601201, 119.74938676467114 35.22951060697165, 119.75665044588729 35.22880723727073, 119.76464579916296 35.22250950289418, 119.78020389509909 35.190685501911894, 119.77930325682217 35.19026701178632, 119.7738360701737 35.19609632471986, 119.72427950455673 35.20930787588233, 119.70410855484104 35.219546453751654, 119.69926562796246 35.22059518101668, 119.68525918633894 35.23592815536844, 119.68206868142981 35.23080427633122, 119.67343250258219 35.230555950906336, 119.6673274588728 35.23193278363548, 119.6650069375454 35.23694309399525, 119.65421395022153 35.24154246279546, 119.64732151877132 35.23940386002596, 119.63895481583643 35.24493758254554, 119.63056140580598 35.247357754484185, 119.62761743102882 35.246137428393794, 119.62351665645501 35.254194247061115, 119.61605334109997 35.25864715946266, 119.58515069858181 35.26575355301084, 119.61989694996453 35.26923249544845, 119.62249819682847 35.261175855932116, 119.62884416334062 35.25971521671733, 119.63592125535874 35.262616182917775, 119.63508577890603 35.25859795777262, 119.6368369868121 35.2527480833176, 119.64131731532939 35.254604957445316, 119.64362913483886 35.25747550105423, 119.64326922394416 35.262727780896945, 119.638967580429 35.26815079660731, 119.62712214777527 35.26809780978727, 119.62696308557314 35.26908178373799, 119.64780160381004 35.27399191021945, 119.65438154986728 35.269554170290974, 119.65757642827558 35.269003229762006, 119.66502265752175 35.26125949268339, 119.66896748071363 35.26302094089438, 119.67036546287083 35.262895227157685, 119.68266531415426 35.30479867583811, 119.68267210988984 35.309263914063365, 119.67710190230285 35.31273236210964, 119.68032003009853 35.32182796418035, 119.68089639736252 35.3289518048228, 119.6735145278937 35.33002508296871, 119.67043938569273 35.332254648266485, 119.6664648212014 35.3339659521499, 119.66155450339916 35.330302114399444, 119.66478261319956 35.32716608761586, 119.66964462461077 35.31794613637698, 119.66598179590959 35.31596126363558, 119.65102461761992 35.323948464906685, 119.6429450502186 35.32673503882679, 119.64158501626774 35.33062974166973, 119.63001691079522 35.3367959727021, 119.64229130861058 35.33798592285523, 119.64029608041713 35.34280989046638, 119.6399787819642 35.348333980357516, 119.64379759137869 35.351715425202265, 119.64798734087958 35.35006173259521, 119.65154765752833 35.35609339313643, 119.65011755802468 35.36416195321818))",18592.434685943936
1,39.1558384550078,119.15324068079876,433,anchorage,"POLYGON ((119.08354517917657 39.16304557446022, 119.081456116062 39.17642129248128, 119.10718678386293 39.1790085420869, 119.11042298283074 39.185007657171624, 119.11281709625442 39.18823360274906, 119.11555068217912 39.1906464072997, 119.12900578880222 39.1964017167992, 119.13388155841433 39.20425721739177, 119.13953147422006 39.20337579102164, 119.14136689946045 39.20240578636384, 119.16381988258756 39.20177668531534, 119.15520086325577 39.19101800648598, 119.16047371798345 39.18637171384961, 119.16672825996447 39.18565180126035, 119.1791418197095 39.1738064191314, 119.18871744058976 39.167218003429554, 119.19453324522418 39.164234709115114, 119.23579943994157 39.18371604316748, 119.23070151096096 39.197760678779375, 119.2393597542888 39.19068788063476, 119.25026076269495 39.19020366082302, 119.25708694919537 39.19490089251914, 119.26330761823618 39.196317198195146, 119.25500686140523 39.18913955103018, 119.25819460853987 39.18142229436365, 119.26008492437431 39.17429918747405, 119.27107819626067 39.185730574521585, 119.27542835875705 39.19659073956583, 119.28315522813108 39.19981658429329, 119.30225303091986 39.212991687831, 119.30371454855565 39.21189652796838, 119.2883323107123 39.19757172092565, 119.32121279359657 39.19532817628173, 119.32471519561808 39.19636648709101, 119.3302415679495 39.194021760775065, 119.35806051637967 39.175448477728516, 119.35614099173334 39.17366791548759, 119.33274033352014 39.18837378970707, 119.32680452600066 39.191541296685166, 119.32354234326311 39.192345357180294, 119.3144943834696 39.17511656567798, 119.2963888321429 39.178477816718434, 119.28437952746141 39.17316495487401, 119.28400069041703 39.16362185048312, 119.30154350738079 39.15310307901867, 119.27453375289252 39.15145281407394, 119.27375923708028 39.14339218083343, 119.2724989858966 39.143344752356846, 119.27086841137906 39.15065222953617, 119.25814413408541 39.15871000779115, 119.25476389181738 39.16670470142738, 119.2455615055446 39.17308257750229, 119.20569224172084 39.148324524010896, 119.21064419543596 39.145296417624195, 119.20260788892925 39.14186690879504, 119.19247395285471 39.133700547290644, 119.18623591459416 39.131814072980454, 119.17570445824687 39.12351865875861, 119.17392731938045 39.12025766955997, 119.16493178632652 39.110580132382914, 119.15980136811798 39.10719853326666, 119.15216442264719 39.10566053525553, 119.14397953279983 39.113140756190745, 119.13517454659602 39.11993211354543, 119.11968321928401 39.12842591320825, 119.09505587817733 39.098413448508644, 119.09007579398877 39.09477399621984, 119.08729905081618 39.09723724117198, 119.10391879769662 39.139976549788, 119.10029664717834 39.14567951942377, 119.09530177769079 39.15003002057541, 119.08354517917657 39.16304557446022))",14821.75266691401
7,39.20824626816053,118.99865744368071,107,anchorage,"POLYGON ((118.98008637412856 39.203907462374566, 118.97271549463647 39.202050928410245, 118.97176058014526 39.204181166476175, 118.99018192247767 39.20936719405311, 118.99274208264802 39.21180241663006, 118.99326021867194 39.21677598555227, 118.99936908099886 39.2171179208133, 119.00073824504932 39.21452771546943, 119.00165049172917 39.21096376151431, 119.0047521698627 39.21052737403566, 119.0058048791891 39.211482647581676, 119.00913782742671 39.21202828506833, 119.01224380905404 39.21023655923129, 119.01208014988751 39.20953293709126, 119.02132092315718 39.209230119041784, 119.02846154387792 39.21455276061488, 119.04224618205345 39.22200026611913, 119.04405783310924 39.22004797225614, 119.0351553982159 39.21500472014946, 119.01559603398788 39.20092877891267, 119.01301979973407 39.199664603270385, 119.00577983270497 39.203720460522334, 119.00544851798877 39.20596535012711, 119.00817940383727 39.20850118470123, 119.00680439306358 39.208290735152644, 119.00481523504854 39.20548786155468, 119.00364516764519 39.20746811011173, 118.99978827577026 39.20859818097928, 118.99572961134437 39.20892835511319, 118.99552987916593 39.20830311873908, 118.99259825969412 39.20741488468867, 118.99102491871155 39.200586020638866, 118.98186875590501 39.197846081333346, 118.97781828484939 39.199147218170594, 118.97728541134633 39.20223453245555, 118.98106354792289 39.2011385458471, 118.98008637412856 39.203907462374566))",3131.0089295315074
9,38.92190839745958,118.2802219545184,1038,anchorage,"POLYGON ((117.95584190515164 38.974539356286066, 117.97460457189312 38.99100338818025, 117.97963494539354 38.990977703148744, 118.01147496098156 38.986071520568345, 118.02483198601233 38.97909229400548, 118.04910991403219 38.98539354013536, 118.0656423995327 39.00668960446031, 118.06752153072486 38.9776480512367, 118.1002181755282 38.983648343889016, 118.13170318425205 38.97447770145999, 118.15032904059785 38.97557090651891, 118.20157487976162 38.954457897127334, 118.22059948971355 38.94448845166256, 118.24380267759287 38.979851399717276, 118.27692604117529 38.947449835609795, 118.30454302237601 38.94874922251864, 118.32137212747752 38.94140718272598, 118.33963263658688 38.94757899140525, 118.36133520691116 38.94068579947007, 118.37034329903663 38.93468008074053, 118.40223621757266 38.93134182420369, 118.43598926482906 38.9487805261655, 118.45367013459453 38.96914697400959, 118.45351876516871 39.000264099769865, 118.41875118440979 39.003387925304814, 118.41842417821992 38.999382436824085, 118.40210386302762 38.9838692874697, 118.40225478888863 39.000631088907866, 118.41882779677903 39.009752997541625, 118.4187638145094 39.00814881802193, 118.45601235508656 39.00598187905642, 118.47010112079279 38.987238640210705, 118.47031053461907 38.98300556469672, 118.4801465538393 38.959592676369674, 118.49047272392222 38.946627684947885, 118.46443374776184 38.94379974837872, 118.44901297184833 38.940786675943464, 118.43759787992946 38.94615649565634, 118.41265926152029 38.921465005373385, 118.42286600579367 38.91467290375449, 118.43031633598547 38.912803650689945, 118.43494091455634 38.90440401986354, 118.460710435913 38.88693443868786, 118.45238076387591 38.87053692901146, 118.44855915526765 38.86852136722166, 118.43226145233336 38.8676752504744, 118.4142630696709 38.869960414227016, 118.38960623814864 38.86843680496593, 118.37258217941333 38.874630555131276, 118.33964788220885 38.87004906782611, 118.31370217087769 38.880364707735076, 118.3059131842891 38.885406240291694, 118.28200247266145 38.86231023051973, 118.28365187261976 38.88199881163314, 118.25085318402675 38.881238124147465, 118.2452162377793 38.887884925585396, 118.2173141544694 38.89616088118259, 118.20163814839648 38.913977806375414, 118.19378225116967 38.916308382389836, 118.16205963833366 38.923218088906374, 118.14665770780577 38.932857746636195, 118.11609406241367 38.93920196902698, 118.09372828075837 38.93931802283613, 118.0791009976104 38.94450041900927, 118.06959527991108 38.94433541142789, 118.06597721176156 38.91044911946895, 118.07777461087294 38.904613640873855, 118.09863879281316 38.90311430934131, 118.117116252341 38.892750227671776, 118.11355628076807 38.87335090165281, 118.1170595294765 38.86433012915952, 118.121834366821 38.837286958857554, 118.11750723820766 38.83608672217828, 118.11522716507699 38.83696327460473, 118.10264456793988 38.85065015786521, 118.10073448233919 38.8536115439852, 118.08972503294945 38.86669589876032, 118.06664203066532 38.874346510527445, 118.0458528078557 38.877804861358555, 118.03477441378061 38.861909170945374, 118.01272307513175 38.88333964482346, 117.99613942643988 38.895413892790295, 117.97058336365167 38.900165392288, 117.97377444075359 38.90873353696103, 118.00308473153741 38.91550003641327, 118.02087083091914 38.911777299918676, 118.03718116153358 38.913705519637965, 118.05898624001007 38.9438893043908, 118.0488023623843 38.94707866665324, 118.02513867497287 38.95248586890882, 118.01491030403287 38.94917935923409, 117.99178304700165 38.953467081996045, 117.96801931318682 38.96067014357532, 117.95316549854657 38.96382136688234, 117.950189855162 38.96560746120487, 117.95584190515164 38.974539356286066))",16425.54363229834
10,38.90258276375318,118.66703464927332,480,anchorage,"POLYGON ((118.55977823773546 38.895755959869035, 118.55656394778728 38.90240378002093, 118.56811326504598 38.90494480782804, 118.5703927613126 38.90050498195193, 118.58153829301074 38.90853763152634, 118.59039876662408 38.90623388130481, 118.59302003683536 38.91158957789323, 118.59935336729808 38.90581889277004, 118.60618479780443 38.900743376592864, 118.60803917676728 38.90382943175554, 118.62116537749053 38.907559456226956, 118.61725562244256 38.908862529391264, 118.61215588371788 38.90842442269959, 118.6119812277686 38.91068365621247, 118.60056002865079 38.92173218055122, 118.60083250434795 38.92197497646587, 118.6147964516836 38.915431695099684, 118.61804064766115 38.91807070957879, 118.62323287957507 38.924248580900034, 118.63802068403672 38.9251911753609, 118.64265717942023 38.93233640745968, 118.63932413441057 38.94040234787015, 118.65030257747885 38.939146784837675, 118.65193793609065 38.945911890916705, 118.65534012131444 38.940013293141, 118.66027343557184 38.93522084601737, 118.66679846370585 38.93691830649672, 118.67541562007732 38.94072431919499, 118.67589640723742 38.943499440175074, 118.6841079107226 38.94127182767541, 118.69117135909704 38.94338627305684, 118.70490113364104 38.9439749657118, 118.7112446439265 38.949706844149496, 118.71442007792805 38.943945141600004, 118.71168380501898 38.939447180805985, 118.72101828939432 38.93627530250518, 118.71319571936621 38.93264358611825, 118.71322026897921 38.92599070574035, 118.7112110954556 38.91801065222522, 118.71111062556896 38.91472258023789, 118.71172116380957 38.91069805968998, 118.7133840095723 38.90768037265334, 118.72119675725001 38.91133082311563, 118.75529556030381 38.932649526930945, 118.79841474759078 38.92611202819491, 118.82298366334611 38.88224993768132, 118.8028434763781 38.86951080287531, 118.80243737926085 38.844252982314515, 118.80019555382644 38.844167407350284, 118.79629038877627 38.87391833106678, 118.77643146177712 38.90451223886968, 118.77296120019571 38.91579663556277, 118.72732243355763 38.89867165778355, 118.71668401285841 38.89783211029126, 118.7128528085672 38.892692943124075, 118.70919731593597 38.89147918890654, 118.70689372921662 38.88598304939914, 118.70402283008573 38.88379221841041, 118.7021374367868 38.8795955427702, 118.70664515055147 38.876956256006615, 118.71424701577125 38.87691499731788, 118.72707804560876 38.87225154556562, 118.7248187123364 38.86681793081498, 118.70966487382042 38.868608498116416, 118.71248421061775 38.865090037884116, 118.71089121074557 38.862300190117914, 118.70654965511906 38.86096104008748, 118.70234562427284 38.850320475019714, 118.70869086933354 38.85017718743133, 118.70845613881528 38.84427150550514, 118.7121387870257 38.837714347660764, 118.70608094097737 38.83705472691154, 118.69911147413721 38.84696968246313, 118.69380852246604 38.84553649916103, 118.69384961929133 38.84856432867062, 118.69688902830143 38.86257881311003, 118.68719480540669 38.8664843600465, 118.69105722448768 38.86912037809995, 118.69799951134281 38.87053535934273, 118.70316585935083 38.870191594663915, 118.70256578958293 38.87479334440653, 118.6939366856268 38.875766276391836, 118.67623103483952 38.8786886845088, 118.68943723668905 38.882604236243154, 118.6916033851801 38.89502766916009, 118.6902702294048 38.90142689158965, 118.68493472836612 38.90492014816637, 118.68137103259122 38.90268031355465, 118.6801551092622 38.900319660474054, 118.68264872100642 38.891290898823385, 118.6725947620465 38.893901975998396, 118.66937728198027 38.89404532592804, 118.66459259596853 38.89054556912867, 118.66397190253913 38.88416524139353, 118.66062452375598 38.882479334755324, 118.6598755159851 38.877691587263335, 118.66052261252759 38.874096326689205, 118.64409537670305 38.86842123088091, 118.64460410963306 38.86644344982624, 118.65791587401864 38.86119430294586, 118.66444374511799 38.86233477994967, 118.66752804024684 38.86361159202935, 118.68169798431767 38.85768118230809, 118.684729539388 38.84233668108469, 118.66841788915548 38.845519909992994, 118.67191763820091 38.84906506380694, 118.66991767280192 38.854645028100826, 118.6669086713476 38.856591562074044, 118.65625704786784 38.85028857262518, 118.64935185656442 38.85780236911338, 118.64091419560066 38.85841477416529, 118.64117679163805 38.851324498584425, 118.63176708539386 38.85343170647638, 118.62877863794981 38.85103117887239, 118.62211757166814 38.85037352423936, 118.6169194533436 38.84509618488857, 118.61227471509707 38.850961243585786, 118.59710221764003 38.85209433488298, 118.60654502877316 38.85773956024673, 118.61606462392861 38.85738995638803, 118.62326147024892 38.85574218225078, 118.62489127106268 38.86369798087227, 118.61968575758732 38.868703197732216, 118.61006295487694 38.86747250433235, 118.60689902637174 38.861391540072944, 118.60101671744071 38.86770480354023, 118.60685400695114 38.87220069554825, 118.60484837764741 38.875367975966824, 118.60560554065101 38.88085746175514, 118.60265540617802 38.88482479894499, 118.59559534952685 38.87841967388698, 118.59078809361512 38.87642338872797, 118.58571368523226 38.876657301766535, 118.58389164831121 38.8751303295547, 118.59483514684327 38.87150513045687, 118.59610147340979 38.86947249741132, 118.58455514410139 38.865946015034716, 118.59040237788057 38.849789543345054, 118.57654727217049 38.85547863967155, 118.57017879727555 38.85565070487011, 118.55773587289637 38.85982712371571, 118.55685536063514 38.86213638427119, 118.55087112575151 38.86768534260467, 118.55463661616902 38.86901522691478, 118.55231950673756 38.87574004914883, 118.55501735306503 38.88289782964599, 118.55784803606825 38.87871971143724, 118.56474913020871 38.870521441560456, 118.56192649696634 38.86438125922815, 118.57092459659198 38.86109570792465, 118.57467155720651 38.86327521972536, 118.57902768715485 38.86747068784026, 118.57588182367586 38.869274831330664, 118.57276687428026 38.87322314022719, 118.57076726312503 38.883096380493015, 118.57646887586289 38.881412443579016, 118.58440589697399 38.88236009119507, 118.58989308802589 38.885048548382684, 118.59403721686486 38.88959230956682, 118.60434627520682 38.889327888388735, 118.61362661815001 38.88244331243209, 118.62362114851676 38.88720593355008, 118.62116641700031 38.872995482146216, 118.62532093465792 38.870452111341514, 118.63107899840658 38.86135185098575, 118.63608560253593 38.867493581232914, 118.63410686553854 38.86845531820358, 118.63315293972116 38.87605422331866, 118.63594000348382 38.87585156605052, 118.6343993583952 38.88259668010021, 118.63185116052396 38.88202679232205, 118.63454773833404 38.889810218771885, 118.63018998463315 38.89170048842573, 118.61157679349004 38.89099596699724, 118.59880787025067 38.89492356730039, 118.5958348164305 38.90218939129608, 118.59108110241277 38.902061390251696, 118.58383648420129 38.89661659251524, 118.58530324684286 38.892013779157665, 118.57006160016648 38.895743973973055, 118.55969786163432 38.89188891739642, 118.55977823773546 38.895755959869035))",12833.871472837911
11,39.541923669659106,121.05515434469503,14,anchorage,"POLYGON ((121.04600259386748 39.556732156760525, 121.02989649776148 39.574927089278574, 121.03087111959378 39.575585363271195, 121.06725855038351 39.55045513240587, 121.06353540945146 39.54436669511517, 121.06378904549489 39.53753760893296, 121.07026822131839 39.52162235295355, 121.03786540759548 39.51309180304381, 121.05369770221422 39.53210360349598, 121.05358525419622 39.5371391679996, 121.03864681901399 39.54031204781464, 121.05320140687193 39.543348506081536, 121.05411742592243 39.546385182233315, 121.04600259386748 39.556732156760525))",18826.948470841646
13,39.83556069863435,119.7798429154095,127,anchorage,"POLYGON ((119.71684630843544 39.877929015673665, 119.72365770467961 39.88970814188517, 119.72344162378644 39.87952015020944, 119.72722256047909 39.874882216844036, 119.73033766678809 39.866670560856804, 119.73835312127247 39.864215753060776, 119.74937967028474 39.870365810253645, 119.73737664410682 39.88166011827707, 119.76500608721511 39.87095392860154, 119.77252711780739 39.87246568927013, 119.77464133668569 39.858002150536606, 119.78573571277124 39.86388101928772, 119.785832891214 39.864832698652634, 119.78777605566027 39.86693830302723, 119.79657529515049 39.86155384056098, 119.81178455779495 39.85645191481758, 119.8111691277829 39.843730392479706, 119.820458106618 39.83768119424437, 119.83630512144258 39.843141560638806, 119.88751992029987 39.84492042784099, 119.85487678799343 39.82962840045508, 119.83453732449485 39.8363517280998, 119.83043433468502 39.82919182666398, 119.83836633497334 39.823829226526065, 119.83736445987608 39.8151008439605, 119.8279744730792 39.819692317863286, 119.82414030984978 39.82033253516481, 119.81511522619532 39.82757442246531, 119.80903431345735 39.839906484579124, 119.79650589049209 39.84707888973078, 119.78067889840975 39.84108217621445, 119.77567785086669 39.837675383620066, 119.77235792245251 39.83200361800027, 119.77690957083368 39.82422985935789, 119.77937866200669 39.82194136968319, 119.7935583792479 39.829919025935155, 119.79687660477921 39.81983551054776, 119.80346071261589 39.81774655261071, 119.80898202342588 39.81437113484746, 119.81712770715546 39.8038973951884, 119.82892106429665 39.80235022925044, 119.86058811007051 39.80420096302527, 119.86609486104776 39.79036998418523, 119.85144366547652 39.78828321310218, 119.82447662891279 39.79156328062114, 119.82267941339238 39.78969407168504, 119.8276830321247 39.770687227937515, 119.81015296489548 39.75758123439967, 119.80981500221854 39.75776818516634, 119.82148834982813 39.77642931111297, 119.81021682707807 39.784836359318604, 119.80378688928076 39.77817809190636, 119.79384437007882 39.7627983866224, 119.79176810424335 39.76347370466183, 119.79814957531518 39.7773655014685, 119.79083437186299 39.783856133008065, 119.79223089790561 39.7873245015518, 119.77909076639004 39.799653628528965, 119.77720268504518 39.805023084932174, 119.77959535885947 39.80758021156818, 119.76990189382428 39.816223206872486, 119.76703116455596 39.81672222889742, 119.75987014547216 39.82958215709144, 119.75264792050042 39.83336617583352, 119.74822326104027 39.83698000094646, 119.74268692137353 39.84690163922853, 119.73651297308193 39.854034659325904, 119.73181590248612 39.85733815199559, 119.72433999310171 39.86459472889124, 119.72426742745908 39.865848267249625, 119.71684630843544 39.877929015673665))",16474.545976781705
14,39.34562173836981,121.19087987180477,155,anchorage,"POLYGON ((121.11256923189636 39.36335530408733, 121.09063366517908 39.3540546646316, 121.08980302716945 39.35496757925987, 121.11343454034044 39.37114181524494, 121.14536930432314 39.35534908508969, 121.16009939072171 39.355152296546265, 121.16667470930723 39.35940920721329, 121.17915822263504 39.35988178607113, 121.19484390174041 39.35668747806215, 121.2232204328222 39.36093820740151, 121.22081614192392 39.351906165873395, 121.21942120661971 39.34960981453654, 121.25420500229143 39.3455992247165, 121.26522551379725 39.34950460763322, 121.29749876437407 39.35541715088392, 121.25403053344316 39.32687100269427, 121.25253094409226 39.32807838212267, 121.21772683236478 39.33651421852301, 121.2061332130911 39.330158047093, 121.20015076122469 39.323702162397154, 121.1899661755392 39.32390620811814, 121.17560501472998 39.31991027204887, 121.16506538094386 39.32113198115885, 121.16469633529938 39.334740546406266, 121.14422027709249 39.335234811577436, 121.15427976316816 39.34393335959056, 121.13615102706433 39.348954693095976, 121.11256923189636 39.36335530408733))",10093.932414675513
18,39.811793333111495,119.62615042335098,71,anchorage,"POLYGON ((119.60843828326473 39.85171837839623, 119.60886566700032 39.85801349246388, 119.62857175270858 39.8597023429665, 119.63152593582139 39.862389206938985, 119.63420612636858 39.85733070647059, 119.6305469170461 39.85712058955179, 119.62368793632083 39.848249068052425, 119.63165185807055 39.8345785322171, 119.63587759978167 39.83351164277725, 119.63907540232621 39.83448567518902, 119.64337790634201 39.82979701432707, 119.6435656469019 39.82538222633599, 119.64548858604074 39.818797433814225, 119.64067347876905 39.81537972770666, 119.64515034855673 39.80775306449551, 119.65055198141597 39.80945340339895, 119.6494537901673 39.805805758059506, 119.64781814861131 39.795859025112605, 119.63104418977517 39.78950800997704, 119.62605956226069 39.78285342691614, 119.6245874647791 39.7749493739854, 119.6460790189514 39.77564762871935, 119.65062102527114 39.776628064349666, 119.66122068661713 39.76176649910435, 119.63499936295305 39.76394726795449, 119.61659964724558 39.74719398076732, 119.59486456447338 39.763216503870744, 119.61926475024825 39.77440143942947, 119.61881409122905 39.77710709030917, 119.62036761038367 39.78059076645275, 119.60254802734978 39.78387800567025, 119.58622338805579 39.78921890010156, 119.60502077238976 39.789325585128324, 119.60755385012433 39.79985279089078, 119.61965408846807 39.79855258085933, 119.62718897289301 39.791680479507335, 119.62800243522642 39.793626451337985, 119.63432239943398 39.79938058382821, 119.63642983954036 39.80424772874699, 119.6339525555657 39.81743722118872, 119.63674961062429 39.818409240127664, 119.6357210329997 39.82584758654082, 119.62524147766656 39.82457312401585, 119.62371160698171 39.821172350230434, 119.62712231403717 39.80559361128992, 119.62548562147143 39.805255856416856, 119.61698051087525 39.822233052353134, 119.61479107511114 39.821859673897244, 119.60651506302985 39.8112527175757, 119.59558808264083 39.814259026301315, 119.5996081053804 39.83018277454568, 119.6029404435191 39.82766649504557, 119.61546678022633 39.82767317534037, 119.60988190713122 39.83975344065748, 119.60551935907064 39.84354099054655, 119.60887673060697 39.84516306559647, 119.60843828326473 39.85171837839623))",10633.970251853632
22,31.496700118824016,121.41107432200573,198,anchorage,"POLYGON ((121.37138749572637 31.501660841872326, 121.37180456556813 31.513445148650412, 121.36429560413482 31.521207053234427, 121.3731598375497 31.518462298519214, 121.3831219606181 31.51349978855814, 121.39609951050628 31.520743317930414, 121.39322705036102 31.52297148359061, 121.38829941328777 31.524529376100787, 121.37788959845282 31.530393941857195, 121.37579383127749 31.53227283978348, 121.35980035533434 31.54065628792219, 121.36048100900621 31.54186369970542, 121.38059554509597 31.535714842357944, 121.38565304690374 31.536763266495118, 121.39458603337302 31.5346637113929, 121.40877607478406 31.528360618465655, 121.41759849411507 31.523480167030907, 121.42051585509384 31.51662405339142, 121.41903269233889 31.513366110764803, 121.41733594654659 31.512116712623193, 121.41248249773976 31.511000954235573, 121.40480651562582 31.516666382573348, 121.40229439712749 31.51780064152801, 121.39726959275507 31.506536450470882, 121.40269845643165 31.503845692225273, 121.40577926360947 31.500976941045824, 121.4096208048449 31.49890472251004, 121.41715826467939 31.496833054937063, 121.42137403424894 31.49320643997317, 121.42115941623703 31.488169797654706, 121.4251408830791 31.477125412662303, 121.43502962275417 31.470631885667927, 121.47658200492171 31.446277868213524, 121.47341250300727 31.432938209439488, 121.48054265464334 31.426838486562012, 121.47504493189298 31.421091363900683, 121.47258180481491 31.41932732619166, 121.46709324162435 31.41753620138747, 121.46896834696265 31.420585572502212, 121.46973563828412 31.43102751663191, 121.46776056253707 31.433638603327566, 121.41912671433893 31.471445573192252, 121.42127056001557 31.47519749862383, 121.39924034248452 31.478595256442638, 121.40614500223339 31.49194854440608, 121.4014794679883 31.493477584799354, 121.39323072549419 31.497951069355985, 121.38967370136501 31.507397436471354, 121.38270855055241 31.509004081804083, 121.37651955152356 31.49903073016427, 121.37317420298825 31.495291529267867, 121.36797047441752 31.49821700406481, 121.37138749572637 31.501660841872326))",4771.762088776515
