reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
0,0,13048353.04405607,0.0,0.0
1,1,213229.19406605404,213229.19406605404,1.0
2,1,341905.39229287533,341905.3922928753,0.9999999999999998
3,1,343450.08897503815,343450.0889750382,1.0000000000000002
4,1,237478.4357839573,230687.42432990688,0.9714036711096226
5,2,232654.27027448412,199051.3900781589,0.8555673181640692
6,1,117145.11890506306,117145.11890506306,1.0
7,1,99321.97778675886,99321.97778675886,1.0
8,1,338771.66757761326,288576.6756563353,0.8518323793716363
9,1,189345.25771579437,189345.25771579437,1.0
10,1,197511.63386746653,197511.63386746653,1.0
11,1,60534.74925737438,60534.74925737438,1.0
12,1,372787.7222181483,352523.903275162,0.9456424722831179
13,1,649385.873390187,196968.38764104116,0.30331486364608923
14,1,230466.71013101458,230466.71013101458,1.0
15,1,1667042.7190973812,597309.9979946269,0.35830515388234313
16,1,4194015.717290799,20965.591234067062,0.004998930058280795
17,0,328305.89060628763,0.0,0.0
18,1,167052.6595056087,167052.6595056087,1.0
19,1,99084.6429776756,99084.6429776756,1.0
20,1,206826.7010878385,42591.07063894093,0.20592636451157564
21,1,665671.582105101,614978.6779593248,0.9238469757331891
22,1,185316.7351701249,185242.65275142543,0.9996002389172706
23,1,1171520.1527595022,693880.7518639385,0.5922909223793636
24,0,845473.4444011385,0.0,0.0
25,1,582295.3665204055,490787.18940387765,0.8428492095629253
26,0,12385868.551545098,0.0,0.0
27,1,542247.5992759031,526431.0931536447,0.9708315792575585
28,0,132261.87966752273,0.0,0.0
29,1,4750167.570160037,1069937.0482176167,0.22524195881821696
30,0,12500712.687833231,0.0,0.0
31,1,65525.44540680016,65525.44540680015,0.9999999999999999
32,1,535051.3642725642,516420.0860758007,0.9651785240804052
33,0,2393920.724472728,0.0,0.0
34,1,1373849.3129178297,872043.8013973874,0.6347448684494444
35,1,32481876.821281265,967810.2064793233,0.029795390574390693
36,1,762791.0229720993,744828.0939938598,0.9764510482723701
37,1,247433.2469728364,247433.24697283644,1.0000000000000002
38,1,734689.3723689977,566410.4357551292,0.7709522650759805
39,1,2205171.7013636003,1309502.4830785757,0.5938324359363153
40,1,138749.4065949395,138749.40659493947,0.9999999999999998
41,1,8765397.270823073,1378700.6850164484,0.15728901296985803
42,2,657963.3873341212,581536.0045107055,0.8838424989981928
43,1,400203.98848398635,100422.53748635105,0.2509283774676057
44,1,227969.28882481362,3775.9946456017647,0.016563611112124333
45,1,339300.9758468518,339300.9758468518,1.0
46,1,217634.2867478973,217634.2867478973,1.0
47,2,722006.2165425394,722006.2165425394,1.0
48,1,505239.14739276806,505239.14739276795,0.9999999999999998
49,0,12577996.25656017,0.0,0.0
50,0,145612.74814269578,0.0,0.0
51,1,255104.04611698515,255104.0461169852,1.0000000000000002
52,0,128212957.4787501,0.0,0.0
53,2,577257.1302636579,577257.1302636579,1.0
54,1,2281135.898568332,1971661.515057041,0.8643332106142729
55,0,95645644.53560019,0.0,0.0
56,0,5995354.877425437,0.0,0.0
57,1,1808535.1762712852,1638926.256677675,0.9062175169059756
58,1,1901110.9741295152,787970.8874779805,0.4144791641312671
59,2,1434979.104750841,1429261.4119285892,0.996015487052514
60,3,4021138.398645458,3179991.388029591,0.7908186868427082
61,1,388941.08438088174,388941.08438088174,1.0
62,0,276313.71381131187,0.0,0.0
63,1,789488.9753946725,698359.30501513,0.88457131990477
64,1,10049234.676696967,1441486.4886918662,0.14344241477756603
65,0,4140017.0130900685,0.0,0.0
66,2,1462595.206103628,708295.6543332587,0.4842731956028813
67,0,2251003.1204916113,0.0,0.0
68,1,5371293.061428479,914250.7518017502,0.1702105510434778
69,2,2504642.6380746122,1517836.6135264346,0.6060092527584044
70,0,2781742.823348893,0.0,0.0
71,2,40806165.20060889,2177716.551359378,0.053367341445916684
72,0,21022299.914926246,0.0,0.0
73,0,8881881.091109004,0.0,0.0
74,1,1035840.7040690768,720899.3547497621,0.6959558085696618
75,0,2210238.756206582,0.0,0.0
76,1,1045519.0038064714,1043804.4198091303,0.9983600642445535
77,1,1863940.893602357,951178.161719992,0.5103048948519454
78,0,7204353.800296614,0.0,0.0
79,0,732772.7156526038,0.0,0.0
80,1,282533.817778483,282533.8177784829,0.9999999999999998
81,1,521973.6529867938,518284.07990190515,0.9929314955577232
82,1,1539315.5938625638,1091759.780231541,0.7092501268645094
83,1,1182825.6457440285,780046.0590759126,0.6594767892314705
84,1,382043.7217254282,377702.44289904705,0.9886366963268639
85,1,3348927.577110405,899591.6659077264,0.2686208182154634
86,0,967650.4955005391,0.0,0.0
87,1,1858049.9113188772,835434.124700179,0.4496295388034936
88,1,454336.7692123485,454336.76921234844,0.9999999999999999
89,1,1703567.5318350175,397345.47831376176,0.23324316229821337
90,0,10968011.800863873,0.0,0.0
91,0,8885138.743584681,0.0,0.0
92,0,508051.9319807554,0.0,0.0
93,0,10241841.004503885,0.0,0.0
94,1,13406028.31853687,744711.6055006252,0.055550502192427326
95,1,8930802.908369645,501671.41440935706,0.056173159295588936
96,0,4854731.070025525,0.0,0.0
97,0,308814.27358968643,0.0,0.0
98,1,391725.2576772134,391725.2576772134,1.0
99,0,12772881.019441739,0.0,0.0
100,1,1247858.5099051807,284066.8760511693,0.2276434978776194
101,1,1098235.837407365,941910.0906868173,0.8576573979869477
102,1,1250476.8845579382,734705.7493201676,0.587540448282574
103,0,4348373.916592514,0.0,0.0
104,0,5651871.628296956,0.0,0.0
105,1,7803581.738727476,1327236.20294748,0.17008038710746062
106,1,9992557.07649948,2153123.186100765,0.21547269328733537
107,2,9004720.209173787,2714525.669478783,0.30145585941840713
108,1,2668547.5451151906,1461818.8291786043,0.5477956845305162
109,0,908786.7559689127,0.0,0.0
110,1,588104.0326295218,364722.36561931844,0.620166408294426
