prediction_index,reference_index,overlap_area_m2,relation
0,653,2981364.403716928,部分重叠
0,654,2111793.2518622745,部分重叠
1,436,1810282.9017385996,部分重叠
2,827,583794.2057354134,预测包含真实
3,797,8032899.596930009,真实包含预测
4,797,5384471.912564236,真实包含预测
5,575,854438.5977146759,部分重叠
6,637,517478.9856893501,预测包含真实
7,329,1764528.9315277075,真实包含预测
8,740,1999465.169523856,部分重叠
9,740,634025.8313718835,部分重叠
9,739,903591.6432952395,部分重叠
10,738,385105.8686722089,部分重叠
10,737,1288742.5837725606,部分重叠
11,739,442935.29680971685,部分重叠
11,738,885224.3493732406,部分重叠
12,766,1776841.2934275381,部分重叠
13,766,1928362.709591886,部分重叠
14,797,2136368.5767780365,真实包含预测
15,761,1039850.144551126,预测包含真实
15,763,557185.7435852056,部分重叠
15,762,557414.6655201679,预测包含真实
16,736,1142288.590236136,部分重叠
16,740,7850.582706639862,部分重叠
17,705,254427.49571971866,部分重叠
17,60,1001982.2542271009,部分重叠
17,700,770417.0699924107,部分重叠
17,701,402209.9324310897,部分重叠
17,702,5985.147145193641,部分重叠
17,708,250125.09013873106,部分重叠
17,707,337276.4855651953,预测包含真实
17,706,857431.0976430661,预测包含真实
18,60,1464626.8479603338,部分重叠
18,709,336316.14808367915,部分重叠
18,708,1060635.0224856518,部分重叠
19,60,1201346.8418481543,部分重叠
19,712,312050.6392876188,部分重叠
20,726,3900713.1400869144,预测包含真实
20,724,249113.28689639072,部分重叠
21,690,328583.88764540496,部分重叠
21,689,1060592.47187569,预测包含真实
21,688,119874.7848790593,部分重叠
22,441,237666.15539226387,部分重叠
23,271,193049.716052442,预测包含真实
24,59,416744.0803145091,部分重叠
24,632,888873.5698920729,预测包含真实
24,48,505239.14739276795,预测包含真实
25,59,1215262.6610119182,部分重叠
26,416,921410.86189636,部分重叠
28,158,252731.3766446872,预测包含真实
29,917,1596182.0839591387,部分重叠
30,705,1613.1934788426663,部分重叠
30,702,48808.51876465478,部分重叠
30,703,496752.82037119876,预测包含真实
31,423,529273.886685584,部分重叠
32,534,783227.5726627487,部分重叠
33,421,685554.1997142083,预测包含真实
33,420,412435.9565338415,部分重叠
34,459,233581.56144980981,预测包含真实
35,721,1094514.8174765506,部分重叠
36,39,1309502.4830785755,部分重叠
36,510,310824.46080175973,部分重叠
36,880,2357489.085428035,部分重叠
36,881,76546.41063766173,部分重叠
37,880,262.21450460057986,部分重叠
37,881,738517.2118907748,部分重叠
37,882,658172.7315216459,部分重叠
38,919,699177.5297075232,部分重叠
38,918,159515.9452371061,部分重叠
39,690,1810636.633711302,部分重叠
39,689,123127.45231973563,部分重叠
40,622,807614.0669090635,预测包含真实
40,908,107357.19935489233,部分重叠
41,672,230479.69841731468,部分重叠
41,355,522642.5304009637,部分重叠
42,169,642139.3403172405,部分重叠
42,167,178318.84473868302,预测包含真实
43,123,730909.3725606445,部分重叠
44,227,249860.9499151887,预测包含真实
45,215,1074191.1402427456,部分重叠
46,171,223105.9391530265,预测包含真实
47,651,1082002.4325998547,部分重叠
47,650,1481220.5189866798,部分重叠
47,649,233767.89114903702,部分重叠
48,321,654475.5018999703,部分重叠
49,577,885094.3590767966,部分重叠
50,744,544725.7517766949,部分重叠
51,225,212875.12915599457,预测包含真实
52,404,958490.0118648016,预测包含真实
52,405,701238.8188691207,部分重叠
53,337,900657.7805502346,部分重叠
54,174,1004595.937323852,部分重叠
54,784,1111949.858921077,部分重叠
54,510,399981.4533564717,部分重叠
54,511,840817.2267152091,部分重叠
55,768,781349.6999477834,部分重叠
55,767,2304252.7627867297,部分重叠
56,814,744968.3219456689,部分重叠
57,549,62842.343776655136,部分重叠
57,693,346045.03071617626,预测包含真实
57,692,400461.81678389566,预测包含真实
58,513,534929.5689207771,预测包含真实
58,512,541762.8211478846,部分重叠
59,267,26733.73886791009,部分重叠
62,462,210518.41125137795,部分重叠
62,459,2706.861845387353,部分重叠
63,411,267919.09403130505,部分重叠
63,410,1878842.0322855536,部分重叠
64,824,205270.81488502282,预测包含真实
65,645,4690375.694574472,部分重叠
66,47,585289.7074296206,部分重叠
66,798,358115.609823225,预测包含真实
66,514,127999.69502411765,预测包含真实
66,515,269037.4092750899,部分重叠
67,47,381207.9651284817,部分重叠
67,516,303242.3298356746,预测包含真实
69,859,3628.297873886733,部分重叠
69,858,369341.774424267,部分重叠
70,646,2934738.0965618296,部分重叠
71,638,3547961.5598038603,部分重叠
71,639,478883.4925187213,部分重叠
71,642,75128.37078119187,部分重叠
72,639,2114437.058602764,部分重叠
73,329,2985942.050334089,真实包含预测
74,778,2010354.992794357,部分重叠
75,327,449589.1799425179,部分重叠
76,898,83693.31698130506,部分重叠
76,540,418402.45275865926,部分重叠
76,541,351366.6041717093,预测包含真实
77,635,3815510.3575263093,真实包含预测
78,776,825220.0820274347,部分重叠
78,69,673894.1330835271,部分重叠
79,100,284066.8760511693,部分重叠
79,760,953155.6112295476,预测包含真实
80,718,397048.11835325754,部分重叠
82,559,272865.81856838043,部分重叠
83,522,102220.36800760447,部分重叠
83,523,746862.5610016756,预测包含真实
83,455,134256.58003885447,部分重叠
84,520,1031266.8938062408,部分重叠
84,519,217918.60135932377,部分重叠
85,619,1635108.4225492515,部分重叠
87,586,2405822.8300231206,真实包含预测
88,630,1371211.7503270921,部分重叠
89,872,142494.39020790145,预测包含真实
90,772,777299.9268775327,部分重叠
90,715,602263.679602494,部分重叠
91,562,120172.15789938165,部分重叠
91,558,446104.4127553443,部分重叠
92,300,868388.9913322693,部分重叠
93,743,1153037.7013121555,部分重叠
94,401,871185.5619668617,部分重叠
95,31,65525.44540680015,预测包含真实
95,22,185242.65275142546,部分重叠
96,403,1772095.2553468526,部分重叠
97,779,1358830.4743237759,部分重叠
99,724,231187.99162700147,部分重叠
99,725,2432663.495110562,部分重叠
99,768,67042.80560506102,部分重叠
100,106,2153123.1861007656,部分重叠
101,615,26512.475568628128,部分重叠
101,443,181721.81417299988,预测包含真实
101,442,1240901.3947069952,部分重叠
102,407,768698.6348042305,预测包含真实
102,81,518284.07990190515,部分重叠
102,406,724895.7022073013,部分重叠
103,159,231875.5391738818,预测包含真实
104,304,649397.2895114898,部分重叠
104,557,595245.4264642359,部分重叠
106,743,1504829.2953909365,部分重叠
107,777,709282.6586076404,部分重叠
108,463,41612.62566725115,部分重叠
108,464,161801.222606891,预测包含真实
108,461,39582.46264131305,部分重叠
109,297,1049133.3878746969,部分重叠
110,568,123460.25938225944,部分重叠
110,38,566410.4357551292,部分重叠
110,318,922336.1901401499,部分重叠
111,694,1395523.9227261527,部分重叠
112,415,1269023.22682645,部分重叠
113,296,606054.634219204,部分重叠
115,729,1230675.6283223934,部分重叠
116,136,225934.82182046073,部分重叠
116,475,504346.9808325153,预测包含真实
116,747,671741.4993292883,预测包含真实
117,409,1184673.9968875295,部分重叠
118,525,335785.90185108775,预测包含真实
119,598,251774.2039767478,预测包含真实
119,526,69293.84767638578,预测包含真实
119,888,126374.11538715927,部分重叠
120,354,1788934.5053847157,部分重叠
121,350,954434.9497910285,部分重叠
122,273,664285.0486031703,部分重叠
123,713,1404234.543136871,真实包含预测
124,89,397345.47831376176,部分重叠
124,359,482941.1002624318,预测包含真实
124,360,708095.4626674461,部分重叠
125,361,399247.26011956914,部分重叠
125,88,454336.76921234844,预测包含真实
125,133,397970.84621491097,预测包含真实
126,289,1229434.7603599434,部分重叠
127,122,845175.2193432369,部分重叠
128,418,1313729.546283909,部分重叠
129,683,1021344.6555552641,部分重叠
129,811,68456.82147570574,部分重叠
130,402,832270.7823722295,部分重叠
131,250,848186.5802921922,部分重叠
132,432,777682.5414491646,部分重叠
133,741,595453.3820531166,部分重叠
133,690,9246.846958003403,部分重叠
134,542,36570.223222329725,部分重叠
134,805,383769.24270567385,预测包含真实
134,539,172995.76376924117,部分重叠
135,915,1017718.4008433656,部分重叠
135,914,134493.4473223816,部分重叠
136,685,1086793.8833224277,部分重叠
137,375,495569.3856580998,部分重叠
137,374,335155.8677189603,预测包含真实
138,888,271978.00311230135,部分重叠
138,754,736924.6915108619,部分重叠
139,346,2178529.672722031,真实包含预测
140,248,1108580.4065414276,部分重叠
140,787,112726.3078031495,部分重叠
141,602,1228779.0422403477,部分重叠
141,753,94108.46482167163,部分重叠
142,528,477043.03299882216,部分重叠
143,665,1192863.16260765,部分重叠
144,666,3094945.3296224037,部分重叠
145,900,2341960.1043942682,部分重叠
146,745,205440.00908694637,部分重叠
147,352,524978.5945983446,预测包含真实
147,353,238627.85216432728,预测包含真实
148,775,848690.4744693488,部分重叠
149,813,2187621.724606372,部分重叠
150,412,1564969.539017681,真实包含预测
151,892,145984.41106174624,部分重叠
151,891,898979.4220933429,部分重叠
152,910,38032.62459994165,部分重叠
152,909,529908.2888752806,部分重叠
153,893,1908043.5177489254,部分重叠
154,893,1586250.6012552716,部分重叠
155,246,21063.23003694298,部分重叠
155,357,1085506.0737892601,部分重叠
157,723,448708.6516320661,部分重叠
158,228,528002.7412020264,预测包含真实
160,479,852268.0355864095,部分重叠
161,371,310568.1441910325,预测包含真实
161,2,341905.3922928753,预测包含真实
161,98,391725.2576772134,预测包含真实
161,3,343450.0889750382,预测包含真实
162,382,1754002.2474108974,真实包含预测
163,386,1060785.7820413634,部分重叠
164,220,398770.15563658037,预测包含真实
164,219,2867.190983213629,部分重叠
165,121,181324.8376935459,预测包含真实
165,119,95020.44772064907,预测包含真实
166,786,105480.11944604268,部分重叠
166,249,314998.1709650564,预测包含真实
167,101,941910.0906868173,部分重叠
168,57,1638926.2566776755,部分重叠
170,163,285154.9413086448,预测包含真实
171,385,350013.88025815255,部分重叠
171,384,691026.9734993706,预测包含真实
173,286,760838.9645587393,预测包含真实
174,230,836807.2982705606,部分重叠
175,102,734705.7493201673,部分重叠
176,677,212223.7522602047,部分重叠
176,245,224842.83215504518,预测包含真实
176,166,267290.19057721033,预测包含真实
