terminal_id,lat,lon,berth_count,dwell_minutes,center_method,polygon
0,36.02856796969697,120.22749515151516,9,56625.850000000006,duration_weighted_berth_medoid,"POLYGON ((120.20944674741644 36.01811652887268, 120.2087396518642 36.02044329995443, 120.20976926881603 36.0229320133174, 120.21183338880257 36.02429150594394, 120.21445115654704 36.0244721596107, 120.21464019443457 36.02597206125779, 120.21547422978965 36.027189488735495, 120.21809796313835 36.02842285604435, 120.21930011667794 36.02989913755585, 120.22073037177243 36.03072781013113, 120.22322592152048 36.03102304091564, 120.22584316329835 36.03256956236771, 120.22939134162993 36.03244558026518, 120.23131180569594 36.03164824312229, 120.23246372397638 36.03037677503164, 120.2342965922466 36.02961640622544, 120.23539808319937 36.028473157644555, 120.23606592971785 36.02560999162397, 120.23546823376577 36.024247216326025, 120.23426058338389 36.02318095356435, 120.23026197099264 36.02229809448894, 120.22855706003259 36.02267531180923, 120.22721913648057 36.02350844018074, 120.22459567366438 36.022392535190704, 120.22265412463 36.020589577888344, 120.21977409766764 36.020020202881746, 120.22138185720372 36.01773426512988, 120.22086145235362 36.013497692785315, 120.2186451607224 36.011755083859306, 120.21584675954487 36.01149128959288, 120.21472367442948 36.0093338219209, 120.212429166034 36.00822169079251, 120.2097350849942 36.00797081269397, 120.20807212651827 36.00831080826057, 120.2064105100538 36.009397371677665, 120.20565103344497 36.0106414383505, 120.20520795022586 36.01303200534913, 120.20558947520209 36.014409212709104, 120.20728020397019 36.01600306862436, 120.2097403377667 36.01658871685534, 120.20944674741644 36.01811652887268))"
1,29.96974581818182,121.73142313636363,5,288044.05,duration_weighted_berth_medoid,"POLYGON ((121.72404948971467 29.969527559289798, 121.72806652723541 29.973876014242943, 121.72962758661309 29.974610737485115, 121.73206521142293 29.974782935216606, 121.73312294891562 29.976860266448462, 121.73525375582398 29.97804845379159, 121.74138251514903 29.978038941502653, 121.74325470348265 29.977066914384547, 121.74437684998533 29.97544516393926, 121.74454963159903 29.97124785629086, 121.74331279016054 29.96892021456747, 121.7410967770529 29.967830568159243, 121.73716758794546 29.967633483904745, 121.73587307280606 29.96621235963451, 121.73349084818159 29.965400575942002, 121.72961544382339 29.962098196334573, 121.7280353150245 29.961393244771735, 121.72582317461847 29.961105786274157, 121.72412601739376 29.961422530253476, 121.72269428544283 29.96227321762331, 121.72174187760885 29.963530745348653, 121.7211286321436 29.965506420180965, 121.72129474827074 29.966990650662183, 121.7223795360796 29.968592833565168, 121.72404948971467 29.969527559289798))"
2,34.4283146,119.7939092,2,31355.166666666668,duration_weighted_berth_medoid,"POLYGON ((119.79021649966386 34.43125243431516, 119.79033970137469 34.43446261946001, 119.79125049660655 34.43572026633938, 119.79268116388484 34.43658838243688, 119.79518916501503 34.43714416169481, 119.79689356998139 34.43707315630926, 119.798778719185 34.43626267743378, 119.7998253340109 34.43515092931532, 119.80029357002539 34.433797405171745, 119.8004193023919 34.429570272095575, 119.79890621058152 34.42773846907461, 119.79822194261735 34.42603804422147, 119.79660475041038 34.42478228898212, 119.79314477788044 34.4241818508144, 119.79146077908221 34.4245904826385, 119.79009525096355 34.425500304646576, 119.78925675376608 34.426772344258865, 119.78886996920774 34.42860885121181, 119.78923229345762 34.43006858094878, 119.79021649966386 34.43125243431516))"
3,39.20837098148149,118.99111805555556,12,360005.01666666666,duration_weighted_berth_medoid,"POLYGON ((118.97470856707673 39.20283588050258, 118.97417769232405 39.20413374152686, 118.97412691945522 39.20747852589637, 118.97514934866142 39.209396989436435, 118.97784157511445 39.210600004104236, 118.98598930134014 39.210468496526076, 118.98752668601281 39.21186226827405, 118.98987488740273 39.21245554956057, 118.98927638212147 39.21429511093889, 118.98951011335929 39.21692532569079, 118.99018788450631 39.218212309561544, 118.99146174856739 39.21919108710093, 118.99357615282705 39.219750070299206, 118.99985266343374 39.219638561385885, 119.00153271254193 39.21920641600073, 119.00286674824439 39.2183049011223, 119.00364755216306 39.217074036234315, 119.00373859280697 39.214965554896644, 119.00460048379196 39.213472840296056, 119.00510474576988 39.20969995934187, 119.00394641709505 39.20729436272309, 119.00134780583122 39.205940457394966, 119.00219437985581 39.204528433427356, 119.00221037891593 39.20316247894306, 119.0013107449402 39.20144166207476, 119.00009455029158 39.20047992043726, 118.99787153267823 39.19988300348642, 118.99585277594772 39.198802823226934, 118.99274589416274 39.198587265619665, 118.991625333504 39.197131045508094, 118.98977888545713 39.19626584035124, 118.98556449349181 39.19608619387257, 118.98329303470952 39.195163495362664, 118.979893691314 39.195141887749266, 118.97781462003523 39.19575340418053, 118.9748812262647 39.19812717184438, 118.9740922662091 39.20114239644605, 118.97470856707673 39.20283588050258))"
4,39.21045625,119.00892791666666,8,372588.26666666666,duration_weighted_berth_medoid,"POLYGON ((119.00240529233248 39.20384751263718, 118.99986833749213 39.205230444828224, 118.99907076264884 39.20721034154028, 118.99926011683523 39.21243429396114, 119.00035997105115 39.21387468927202, 119.00220044759439 39.21475071705102, 119.0122162804374 39.214880645984266, 119.0137606558483 39.214275940463736, 119.0148953719715 39.213263755129134, 119.01553071399363 39.210780434485066, 119.01777687374734 39.211908140750495, 119.02115991194162 39.21210482791317, 119.02322171002676 39.2114812471828, 119.02482375168732 39.20985162424738, 119.02521833477475 39.206691804646994, 119.02455460396031 39.20502999460183, 119.01914128215297 39.20027831888849, 119.0180242926352 39.198659242232175, 119.01621675849422 39.197762530645434, 119.01155304102593 39.197543888426885, 119.00891620831554 39.19865301976801, 119.00462156127452 39.1991550227062, 119.00265206215207 39.200930526368616, 119.00240529233248 39.20384751263718))"
5,34.475525634920636,119.78628074603174,1,62845.450000000004,duration_weighted_berth_medoid,"POLYGON ((119.79185760160985 34.470124723295115, 119.7895288919708 34.469209126501795, 119.78373334174432 34.46933308087981, 119.78166624971418 34.46982765817747, 119.78036483955471 34.470764840554466, 119.77943748191063 34.47274235973209, 119.77957813135868 34.479069281476754, 119.7801210688915 34.48044831450821, 119.78126478733613 34.48154973971071, 119.78370439912243 34.48233016281103, 119.78932221820722 34.48223724815971, 119.79138296622763 34.48177833426136, 119.79269833749389 34.480872972739036, 119.7936804328439 34.47893245991651, 119.79376449400584 34.47289680041577, 119.79311145279146 34.47125893893036, 119.79185760160985 34.470124723295115))"
6,34.442998,119.79618388235295,2,42015.816666666666,duration_weighted_berth_medoid,"POLYGON ((119.79076542792833 34.445760823149875, 119.7914150949043 34.44814568165485, 119.79367213525332 34.44979445040543, 119.79700124227514 34.45002873619393, 119.79962757760507 34.44864381018015, 119.80125632054413 34.445108850546845, 119.80129263476208 34.44018353361824, 119.8008262479723 34.43853545161358, 119.79910928997457 34.43687187190655, 119.79750395640849 34.43625285810446, 119.7957332662825 34.43619413453618, 119.79315485467734 34.436805236775484, 119.79151372952816 34.437915729358195, 119.79062281439123 34.43987454591051, 119.79076542792833 34.445760823149875))"
7,34.590170729166665,119.60588560416666,3,29343.016666666663,duration_weighted_berth_medoid,"POLYGON ((119.60506072248768 34.586103817657396, 119.60355504815114 34.586513877442066, 119.60219788491924 34.587453253024854, 119.60088215623726 34.59018504798533, 119.60163975812274 34.59256891069906, 119.60404862866329 34.59403152656602, 119.60624401603992 34.59434382337486, 119.60832328474338 34.593936415725764, 119.61092415944154 34.592791849396406, 119.6122922171488 34.5917080583065, 119.61485997220329 34.59116614993342, 119.61676317159183 34.589204514684674, 119.61692931013434 34.58701276201413, 119.61646246357945 34.58560613919882, 119.6153713818958 34.58445745248148, 119.61382573263131 34.583745340876696, 119.61048246245167 34.583761379353035, 119.60808290567242 34.58514922934959, 119.60506072248768 34.586103817657396))"
8,38.947784999999996,118.45825825,7,131846.51666666666,duration_weighted_berth_medoid,"POLYGON ((118.45020371124022 38.952361741309524, 118.45053770271078 38.95690019972039, 118.45015527479518 38.95867320195594, 118.45087981640758 38.96026434882624, 118.45210503795741 38.961228131871316, 118.45443133385002 38.96206691521615, 118.45614835768805 38.96209018488868, 118.45775111543156 38.96161071414548, 118.45924137523238 38.960417426753615, 118.46021931021852 38.958451045344965, 118.45994631645782 38.9516122024679, 118.46437819975583 38.94980258087504, 118.4683540574879 38.94708565032186, 118.46904112493411 38.945086031708136, 118.4688571447992 38.9431842816936, 118.46811788797882 38.941942973538744, 118.46560294124164 38.94061882318076, 118.46162968530352 38.94075647632229, 118.46012898609277 38.94144597488771, 118.45906096382708 38.94256035596501, 118.4549189637705 38.94466777714631, 118.4537784845384 38.945854851485976, 118.45092967143137 38.94655730484561, 118.44956711576046 38.94786469244228, 118.44902483060152 38.94983079568915, 118.44927544591452 38.95116390135027, 118.45020371124022 38.952361741309524))"
9,38.96871393442623,118.45514906557376,6,144761.45,duration_weighted_berth_medoid,"POLYGON ((118.45011487061126 38.96958996676343, 118.45012001576876 38.974391087793904, 118.45128080271553 38.97643069705777, 118.45307934345293 38.9775286343438, 118.45514181902156 38.97787789325171, 118.45679811696787 38.97760012399313, 118.45889106258856 38.97650124177231, 118.4601777281468 38.974379906828275, 118.45980664617215 38.967780378095576, 118.46020965544288 38.96024097808612, 118.45919779329748 38.95828804619435, 118.45667833163189 38.95690805694628, 118.45490425330239 38.956668651896685, 118.45315181358978 38.95699030107263, 118.45127308097268 38.958121387087154, 118.45038645220095 38.95924814427692, 118.45011487061126 38.96958996676343))"
