cluster_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
1,95,日照锚地,6797.80217674539,1242937523.3142307,915804823.433296,1.3572078804461134,862274405.0951943,0.6650950458491401,0.6937391372624931,0.9415482240665436
2,18,京唐锚地,9959.13957937581,2004311916.1255023,1585293952.1009362,1.264315626429569,1580267133.1484761,0.7864612897571825,0.7884337365030792,0.9968290934650964
16,63,鲅鱼圈1号锚地,3461.4978955216898,3409961235.607127,21562587.510994196,158.14248794902178,21562587.510994192,0.00632341132967603,0.006323411329676033,0.9999999999999998
22,117,温州2号锚地,4152.987307905187,956586943.4378246,63195409.85537338,15.136968739138384,44953905.03001196,0.04611468316307824,0.04699406085186007,0.7113476300397729
29,87,石岛锚地,3216.761814354465,3292920558.2357383,711248553.5790546,4.629774699246166,711050366.3231612,0.21592005065004363,0.21593304598399532,0.9997213530278606
32,35,汕头1号锚地,835.486721339614,886083447.5305415,83081774.13021065,10.665196510390105,81328040.27055272,0.0916024266332336,0.09178372589761023,0.9788914731537945
47,103,大丰2号锚地,4436.258536584274,809671289.8141788,250103925.49107146,3.2373393909128527,250103925.49107146,0.3088956328789561,0.3088956328789561,1.0
58,92,青岛1号锚地,2840.8957254170805,469303091.81747454,194543825.30790547,2.4123258143747623,194543825.30790544,0.4145377021798293,0.4145377021798295,0.9999999999999999
62,178,鼠浪湖5号锚地,7674.803681903503,1139741700.0098758,89458513.36315617,12.740449814799659,79062240.11945866,0.06874152663249883,0.06936855966467981,0.8837866531327889
69,54,绥中1号锚地,3723.1830955497753,586310240.50911,279712752.88805664,2.096115512987555,276075372.14785254,0.4679659044360865,0.4708690946761025,0.9869960139369841
70,126,台州3号锚地,9989.655585570898,462097639.91721517,50896786.579157986,9.079112277521311,50896786.57915797,0.11014292691102286,0.11014292691102281,0.9999999999999997
72,51,宁德2号锚地,1194.9004839837203,94183599.55690752,36915136.61385882,2.5513544902214655,23916274.231583573,0.22313607841135902,0.253932471726491,0.6478717519524182
77,124,台州2号锚地,6111.99682715528,897039398.532322,17296065.86724496,51.863782516642836,17296065.86724496,0.019281277829651253,0.019281277829651257,1.0
78,133,舟山3号锚地,7527.558287222561,1225315235.129474,203549093.02070025,6.019752861315199,203442516.31558147,0.1660183573940192,0.16603279750625524,0.999476407860447
80,165,水东1号锚地,6812.558305521768,612682845.1525781,77149106.47726175,7.941541686333786,77149106.47726175,0.12592013484243883,0.1259201348424389,1.0
87,56,锦州1号锚地,6819.032376916852,485897553.49172646,448553370.1530733,1.0832547157675108,319427289.908498,0.5193740083904714,0.6573963742213759,0.7121277225037685
88,45,海口2号锚地,4749.475564693829,270814802.93325186,113865306.08457084,2.378378561878281,106683421.11003199,0.38375788543717415,0.3939349694127556,0.9369264860254741
93,33,汕尾红海湾电厂锚地,9271.444543128473,797734433.1005168,75789529.39601015,10.525654921701,75789529.39601012,0.09500596470612721,0.09500596470612724,0.9999999999999996
