prediction_index,reference_index,overlap_area_m2
0,73,9665139.273457834
0,72,862274405.0951943
1,2,1580267133.1484761
2,4,521663671.2811332
2,1,1050131008.8076332
3,4,901175695.2266194
4,42,467339120.307735
5,3,1177120775.8752165
5,41,33732080.26448572
6,42,545369705.4824167
7,44,39010658.81806781
7,43,21562587.510994192
7,39,1522828005.7660651
7,34,293340607.73656446
9,90,444387551.706084
9,89,44953905.03001196
10,27,370226663.4123303
11,60,16570753.456199013
11,64,711050366.3231612
13,30,61006321.068278134
13,31,546032001.5786067
14,18,81328040.27055272
14,126,16587058.158381198
15,134,7787334.82052376
16,13,517554518.44666356
17,25,353925493.7090742
18,13,730045.5384460324
19,71,493157874.6138252
20,22,11200541.01401277
20,23,692626594.414652
21,79,250103925.49107146
23,27,245989539.50993958
24,76,119059477.91339163
25,76,1062991.4179389498
26,69,194543825.30790544
27,69,7282776.007030981
28,45,517314427.78514487
29,100,862313.8654789266
29,101,121342758.7802011
29,133,79062240.11945866
29,132,17962215.516143948
29,103,31917018.17275214
29,104,6643640.8100786265
30,17,95488195.3179583
31,40,12731744.197734995
32,35,276075372.14785254
33,96,50896786.57915797
34,32,23916274.231583573
36,92,249692122.1670892
36,95,17296065.86724496
37,99,203442516.31558147
39,122,43891893.88850326
39,121,77149106.47726175
39,123,116646866.75872825
40,14,295468365.53242683
42,37,319427289.908498
42,33,30635138.134130754
43,28,106683421.11003199
45,16,75789529.39601012
47,52,325284844.4568166
48,11,145840962.87007996
48,12,368127053.3582935
50,87,191580405.34711522
51,77,331562527.2447497
52,6,154512483.03119677
54,133,549369.8045076891
54,83,311640974.618905
54,102,53475700.839756936
54,114,17422336.866697293
55,6,89767.28522633245
56,127,20790366.28148836
56,19,34363443.08640789
57,38,79385375.06188364
57,0,53608734.25775021
58,94,23019822.972962584
59,57,164538362.13311607
64,15,495554636.9640888
66,56,47986473.56020131
66,55,99407673.85245475
67,21,71947648.65931484
68,19,34363443.08640789
69,130,9360766.293415524
70,26,130977545.32412472
71,59,194590310.7628452
74,98,778717972.5803325
76,110,29495152.479255486
76,111,7121340.058888208
78,1,254411.12560573916
79,66,3901577.929915117
79,65,35746327.39849404
80,13,5838638.975874355
81,54,57138668.78149729
83,86,61085132.83652142
84,67,206271716.2254261
86,60,167150850.52070946
87,67,150034028.628254
88,88,100225992.24201556
90,56,285421297.5496447
91,52,905275.4992312508
92,125,20180484.752824362
94,29,63465594.95721855
97,110,1345591.0021657487
97,111,29424687.00963348
98,112,29249212.546180695
