reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
0,1,1935881405.3406794,4735676.054381434,0.00244626351661663
1,1,1271090548.9224901,920374297.8791078,0.7240824020439093
2,1,1585293952.1009362,1385861203.0081592,0.8741982527414076
3,1,1279803140.0520093,963594813.4210635,0.7529242453506595
4,2,2542996482.0319,1043496592.8951997,0.41034134347737167
5,0,202549403.90524638,0.0,0.0
6,1,161556806.15889606,129534991.44745213,0.8017922273113676
7,0,301552083.2322854,0.0,0.0
8,0,97552671.99717508,0.0,0.0
9,0,66667785.03758618,0.0,0.0
10,0,245874004.7869356,0.0,0.0
11,1,1268813897.196273,59926387.85226558,0.04723024234262115
12,1,368127053.35829353,353336653.7272449,0.9598225680614315
13,1,1052513543.8776848,368297733.91941583,0.34992208514726403
14,1,307148192.4344733,274564469.5819623,0.8939153032474304
15,1,546986594.4981935,425124106.6837541,0.777211198518976
16,1,75789529.39601015,73062537.50178473,0.9640188834004163
17,1,299885389.43400425,42303338.75481891,0.14106502098905555
18,1,83081774.13021065,81328040.27055271,0.9788914731537944
19,2,34363443.086407885,34363443.08640789,1.0000000000000002
20,0,330910867.4317929,0.0,0.0
21,1,71947648.65931486,66692615.05698464,0.9269603148920995
22,1,47410014.80936243,8763808.265827771,0.1848514138008055
23,1,1161361913.7543166,526745154.1783192,0.4535581440547834
24,0,321321955.8759743,0.0,0.0
25,1,392859778.2231247,297768423.3736039,0.7579509022796584
26,1,130977545.32412475,128437917.94883741,0.980610207887141
27,2,859838494.9647232,437914127.4706349,0.509298118233938
28,1,113865306.08457084,102611492.42451037,0.9011655608978739
29,1,64806277.602854595,62341629.541243225,0.9619689920054473
30,1,72695160.73780307,24842830.41638628,0.3417398099715249
31,1,644680829.545892,477362257.1329908,0.7404629318188986
32,1,36915136.61385882,23916274.231583573,0.6478717519524182
33,1,33392294.70710215,21255693.36849561,0.636544854282649
34,1,2535040010.050139,139898292.43571818,0.05518583212931271
35,1,279712752.88805664,232139824.55202436,0.8299222046730513
36,0,113898469.11272201,0.0,0.0
37,1,448553370.1530733,209657867.0222955,0.46740896618555705
38,1,841123156.2852904,15859350.119414985,0.018854967909165306
39,1,1528849147.2431397,1437585131.461417,0.940305414732191
40,0,274247623.585739,0.0,0.0
41,1,34148119.07766042,7795578.143571039,0.22828718986958432
42,2,1237748640.725205,665859636.8657825,0.5379603054749881
43,1,21562587.510994196,21562587.510994192,0.9999999999999998
44,1,39010658.81806781,39010658.81806781,1.0
45,1,1479676775.409822,395662146.55692565,0.26739768653011414
46,0,808988970.7526113,0.0,0.0
47,0,347587562.5040219,0.0,0.0
48,0,942638919.6873122,0.0,0.0
49,0,765828913.6869366,0.0,0.0
50,0,157812148.64048582,0.0,0.0
51,0,462900143.22380656,0.0,0.0
52,1,336384798.13131315,235189474.69729027,0.6991679647945337
53,0,172965911.4387699,0.0,0.0
54,1,57138668.781497285,57138668.78149729,1.0000000000000002
55,1,99407673.85245474,99407673.85245475,1.0000000000000002
56,2,653300695.7830272,167345034.35619292,0.256153154950521
57,1,164538362.13311607,145196109.65109587,0.8824453323148326
58,0,6600623.815363794,0.0,0.0
59,1,195618182.71892148,162266468.6217089,0.8295060631192206
60,1,167150850.52070946,166493560.81367344,0.9960676855368165
61,0,7242111.884674675,0.0,0.0
62,0,4940550.338760961,0.0,0.0
63,0,9317039.059381621,0.0,0.0
64,1,711248553.5790546,711050366.3231614,0.9997213530278607
65,1,35881248.069961175,35746327.39849404,0.9962397999310374
66,0,91582646.49424215,0.0,0.0
67,2,265570256.92745852,193284366.17503533,0.7278087855592641
68,0,359437660.927798,0.0,0.0
69,1,194543825.30790547,181440733.53874338,0.9326470950778121
70,0,903838428.7799695,0.0,0.0
71,1,4872955562.174921,305852978.438467,0.06276539454054805
72,1,915804823.433296,704518771.8941145,0.7692892130147524
73,0,776807801.6936082,0.0,0.0
74,0,1143964575.0740066,0.0,0.0
75,0,444002886.8709187,0.0,0.0
76,1,289752441.14395064,84024855.4044659,0.2899884296840898
77,1,338198689.30677253,284334428.1145106,0.8407319043646474
78,0,326640766.0236062,0.0,0.0
79,1,250103925.49107146,229778165.79505134,0.9187307450048571
80,0,91746638.15277979,0.0,0.0
81,0,1076322052.9030607,0.0,0.0
82,0,5549711.190939287,0.0,0.0
83,1,311640974.61890507,311640974.618905,0.9999999999999998
84,0,192149379.75193635,0.0,0.0
85,0,332948274.6117775,0.0,0.0
86,1,61281511.98605186,61085132.836521424,0.9967954584806078
87,1,224375504.0357952,146675592.18437645,0.6537059061535385
88,1,100225992.24201556,100225992.24201556,1.0
89,1,63195409.85537338,44953905.03001196,0.7113476300397729
90,1,857509709.4363207,319480772.0044812,0.37256811029520603
91,0,6652418.1860894095,0.0,0.0
92,1,697236424.800245,200762360.4684932,0.28794014960708725
93,0,54514882.80789088,0.0,0.0
94,1,111510912.2773193,23250.225435943492,0.00020850179557424766
95,1,17296065.86724496,17296065.86724496,1.0
96,1,50896786.579157986,50896786.57915797,0.9999999999999997
97,0,45899810.29316187,0.0,0.0
98,1,6830349184.665056,510065460.5841259,0.0746763374454242
99,1,203549093.02070025,203442516.31558147,0.999476407860447
100,0,261206276.77287528,0.0,0.0
101,1,121342758.7802011,120463700.77441122,0.9927555791987372
102,1,53475700.83975695,53475700.839756936,0.9999999999999997
103,1,31917018.17275214,30774759.811091363,0.9642116204127135
104,1,6643640.8100786265,6643640.8100786265,1.0
105,0,452935243.82444435,0.0,0.0
106,0,425130477.2813347,0.0,0.0
107,0,421768298.0438856,0.0,0.0
108,0,2458042724.524292,0.0,0.0
109,0,253854944.04254818,0.0,0.0
110,1,29495152.479255483,29495152.479255486,1.0000000000000002
111,1,29424687.009633478,29424687.00963348,1.0000000000000002
112,1,29249212.546180695,29249212.546180695,1.0
113,0,124163127.24366893,0.0,0.0
114,0,529486322.66581106,0.0,0.0
115,0,4429171.557531793,0.0,0.0
116,0,12930360.121663272,0.0,0.0
117,0,55093220.01154449,0.0,0.0
118,0,3421340.865815291,0.0,0.0
119,0,19577929.68199952,0.0,0.0
120,0,15435506.73202292,0.0,0.0
121,1,77149106.47726175,77149106.47726175,1.0
122,1,555685489.7745341,1305943.3192834733,0.002350148318275058
123,1,152793765.4051031,84529851.03294474,0.5532284043712792
124,0,421664201.5082249,0.0,0.0
125,1,285582983.1991417,37610.62355427939,0.00013169770527977461
126,1,16587058.158381194,16587058.158381198,1.0000000000000002
127,1,23146477.227123745,20790366.281488366,0.8982086594639803
128,0,164195225.470752,0.0,0.0
129,0,22092656.694853596,0.0,0.0
130,1,9360766.293415522,6193887.663060662,0.6616859634042481
131,0,1954404554.797775,0.0,0.0
132,1,17962215.516143948,17962215.516143948,1.0
133,1,89458513.36315617,79062240.11945868,0.883786653132789
134,0,55028713.648979865,0.0,0.0
135,0,69995314.06847155,0.0,0.0
