cluster_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
1,95,日照锚地,6797.80217674539,1014217303.8442775,915804823.433296,1.1074601027345972,801227673.6586179,0.7098083013163767,0.7899960596428929,0.874889117372045
2,18,京唐锚地,9959.13957937581,1743064065.2474267,1585293952.1009362,1.0995210465146878,1517183508.0313854,0.8376793623291044,0.870411787082549,0.9570360790317238
16,63,鲅鱼圈1号锚地,3461.4978955216898,3043453313.8824673,21562587.510994196,141.14508809903683,21562587.510994192,0.0070849082562358294,0.007084908256235831,0.9999999999999998
22,117,温州2号锚地,4152.987307905187,770268670.4934272,63195409.85537338,12.188680669311818,44953905.03001196,0.05701119203926255,0.05836133124980261,0.7113476300397729
29,87,石岛锚地,3216.761814354465,2946430983.3282065,711248553.5790546,4.142617891455176,711050366.3231612,0.24130975604989768,0.24132598738830072,0.9997213530278606
32,35,汕头1号锚地,835.486721339614,721455617.0361882,83081774.13021065,8.683680922671204,81328040.27055272,0.11245435387389673,0.11272771096392102,0.9788914731537945
47,103,大丰2号锚地,4436.258536584274,621931327.4356773,250103925.49107146,2.4866915871653514,247792613.9623332,0.39694919650699173,0.39842439676422464,0.9907585955550275
58,92,青岛1号锚地,2840.8957254170805,205044794.04097,194543825.30790547,1.0539773941241497,153367539.32155958,0.6228854950378071,0.7479709008896622,0.7883444210003788
62,178,鼠浪湖5号锚地,7674.803681903503,941442615.4781731,89458513.36315617,10.52379007972549,79062240.11945866,0.083062628619454,0.08397988238433601,0.8837866531327889
69,54,绥中1号锚地,3723.1830955497753,417274719.9520042,279712752.88805664,1.49179726574355,247294204.65002257,0.549917515210651,0.5926412332826366,0.8841005713779226
70,126,台州3号锚地,9989.655585570898,388480183.76072526,50896786.579157986,7.632705517794049,50896786.57915797,0.1310151423592471,0.1310151423592473,0.9999999999999997
