reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
0,0,1935881405.3406794,0.0,0.0
1,1,1271090548.9224901,986548699.9361836,0.7761435255517287
2,1,1585293952.1009362,1517183508.031386,0.9570360790317242
3,1,1279803140.0520093,1074414775.4983408,0.8395156582087134
4,2,2542996482.0319,1182970764.7091486,0.4651877315079625
5,0,202549403.90524638,0.0,0.0
6,1,161556806.15889606,107731864.67237993,0.6668358160436915
7,0,301552083.2322854,0.0,0.0
8,0,97552671.99717508,0.0,0.0
9,0,66667785.03758618,0.0,0.0
10,0,245874004.7869356,0.0,0.0
11,1,1268813897.196273,100187532.40904647,0.07896156609762325
12,1,368127053.35829353,366443644.89024836,0.9954270992781215
13,1,1052513543.8776848,444079483.59289277,0.4219228210183491
14,1,307148192.4344733,290797331.0094672,0.9467655619412627
15,1,546986594.4981935,465545920.18224955,0.8511102920343819
16,1,75789529.39601015,75789529.39601012,0.9999999999999996
17,1,299885389.43400425,40486168.017656244,0.13500547023670864
18,1,83081774.13021065,81328040.27055271,0.9788914731537944
19,2,34363443.086407885,34324113.59220437,0.9988554844721287
20,0,330910867.4317929,0.0,0.0
21,1,71947648.65931486,70043560.60113968,0.9735350898374542
22,1,47410014.80936243,9695977.095070742,0.20451326864289446
23,1,1161361913.7543166,606817045.1209583,0.522504688619683
24,0,321321955.8759743,0.0,0.0
25,1,392859778.2231247,329070255.0588657,0.8376277575353369
26,1,130977545.32412475,130881260.98565353,0.9992648790429463
27,2,859838494.9647232,455222927.44629705,0.5294284102329864
28,1,113865306.08457084,86168669.16208662,0.7567596498452902
29,1,64806277.602854595,53255397.36966394,0.8217629424115873
30,1,72695160.73780307,40973572.909891196,0.5636354950458764
31,1,644680829.545892,513387426.38129824,0.7963435592507446
32,1,36915136.61385882,16471030.334342232,0.4461863572830072
33,0,33392294.70710215,0.0,0.0
34,1,2535040010.050139,213066890.10061747,0.08404872872061823
35,1,279712752.88805664,247294204.65002263,0.8841005713779229
36,0,113898469.11272201,0.0,0.0
37,1,448553370.1530733,117824717.93090908,0.26267714339254705
38,0,841123156.2852904,0.0,0.0
39,1,1528849147.2431397,1494079626.2973113,0.9772577163623202
40,0,274247623.585739,0.0,0.0
41,1,34148119.07766042,20955258.32976697,0.613657762001768
42,2,1237748640.725205,619240597.7556466,0.5002959222745174
43,1,21562587.510994196,21562587.510994192,0.9999999999999998
44,1,39010658.81806781,39010658.81806781,1.0
45,1,1479676775.409822,460454724.0925697,0.31118601828770265
46,0,808988970.7526113,0.0,0.0
47,0,347587562.5040219,0.0,0.0
48,0,942638919.6873122,0.0,0.0
49,0,765828913.6869366,0.0,0.0
50,0,157812148.64048582,0.0,0.0
51,0,462900143.22380656,0.0,0.0
52,1,336384798.13131315,286154226.344882,0.8506752621834509
53,0,172965911.4387699,0.0,0.0
54,1,57138668.781497285,57012288.04047305,0.9977881749134282
55,1,99407673.85245474,99407673.85245475,1.0000000000000002
56,2,653300695.7830272,68048353.3438983,0.10416084627360993
57,1,164538362.13311607,51340495.958583795,0.31202751317682326
58,0,6600623.815363794,0.0,0.0
59,1,195618182.71892148,96425397.96733414,0.49292656044088295
60,2,167150850.52070946,163386888.09795198,0.9774816436109541
61,0,7242111.884674675,0.0,0.0
62,0,4940550.338760961,0.0,0.0
63,0,9317039.059381621,0.0,0.0
64,1,711248553.5790546,711050366.3231614,0.9997213530278607
65,1,35881248.069961175,20362313.967186328,0.5674917975953326
66,0,91582646.49424215,0.0,0.0
67,2,265570256.92745852,82886544.99965206,0.3121077863109227
68,0,359437660.927798,0.0,0.0
69,2,194543825.30790547,153367539.32155958,0.7883444210003788
70,0,903838428.7799695,0.0,0.0
71,1,4872955562.174921,250509266.4661107,0.051408075298413396
