prediction_index,reference_index,overlap_area_m2
0,72,801227673.6586179
1,2,1517183508.0313854
2,4,457849089.8381201
2,1,986548699.9361838
3,4,769161488.981722
4,42,124391098.24653031
5,3,1074414775.4983408
5,41,20955258.329766966
6,42,494849499.50911635
7,44,39010658.81806781
7,43,21562587.510994192
7,39,1494079626.2973115
7,34,213066890.10061747
9,90,380835011.91399544
9,89,44953905.03001196
10,27,318826957.41828686
11,60,3205092.16198473
11,64,711050366.3231612
13,30,40973572.9098912
13,31,513387426.38129824
14,18,81328040.27055272
14,126,16587058.158381198
15,134,221123.3699966828
16,13,444079483.59289277
17,25,329070255.0588658
19,71,250509266.46611077
20,22,9695977.09507074
20,23,606817045.1209584
21,79,247792613.9623332
23,27,136395970.02801028
24,76,89072491.99092048
26,69,153367539.32155958
27,69,314944.39023598086
28,45,460454724.09256953
29,101,121342758.7802011
29,133,79062240.11945866
29,132,17962215.516143948
29,103,31917018.17275214
29,104,6643640.8100786265
30,17,40486168.01765626
32,35,247294204.65002257
33,96,50896786.57915797
34,32,16471030.334342232
36,92,223849701.01783466
36,95,17296065.86724496
37,99,203442516.31558147
39,122,434864.0052571583
39,121,77149106.47726175
39,123,82699829.95426244
40,14,290797331.0094673
42,37,117824717.93090908
43,28,86168669.16208665
45,16,75789529.39601012
47,52,286154226.34488195
48,11,100187532.40904647
48,12,366443644.89024836
50,87,130879199.25627993
51,77,314819819.0652878
52,6,107731864.67237988
54,83,311640974.618905
54,102,53475700.839756936
54,114,116606.7965684169
56,127,20790366.28148836
56,19,21314845.88198174
58,94,6658155.812074996
59,57,51340495.958583795
64,15,465545920.18224967
66,56,16646533.199070772
66,55,99407673.85245475
67,21,70043560.60113966
68,19,20093710.794818915
69,130,3662198.7907148455
70,26,130881260.98565353
71,59,96425397.96733414
74,98,638646948.6481607
76,110,29495152.479255486
79,65,20362313.967186335
81,54,57012288.040473044
83,86,55535165.868876696
84,67,40790684.700940415
86,60,162434475.8470543
87,67,42095860.29871162
88,88,100225992.24201556
90,56,57285686.53882572
94,29,53255397.36966392
97,111,29424687.00963348
98,112,18653814.30929806
