terminal_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
0,"1,840",青岛前港散货码头,327.53236172480695,5305368.117746824,4460970.320687552,1.1892856792037856,2111793.2518622745,0.27588748911782024,0.3980483926832861,0.4733932530483171
2,"2,015",陈家港码头,277.39959847854743,1734123.5446697036,583794.2057354134,2.9704363757519743,583794.2057354134,0.3366508733070734,0.3366508733070734,1.0
5,"1,748",连云港燕尾,168.13668804931623,2530546.087413132,854612.4829552807,2.9610450793585565,854438.5977146759,0.3376266860606879,0.33764988591380746,0.9997965332310575
6,"1,823",响水小蟒牛作业区（一期）,145.16355331506668,1874774.069912236,517478.9856893501,3.6228989422919082,517478.9856893501,0.27602205193374313,0.27602205193374313,1.0
8,"1,928",国投煤码头,661.9542525121469,3827437.8934945576,2272103.735630203,1.6845348359206664,1999465.169523856,0.48766533727482747,0.5224030343960169,0.8800061098307527
9,"1,927",秦港码头,486.4874719735761,3029021.8780403594,976087.8767830608,3.103226615233918,903591.6432952395,0.29133850288883906,0.29831136243882883,0.9257277595468653
10,"1,925",弘毅码头,791.4377581143531,3507949.131214917,1454475.98342194,2.411830220091898,1288742.5837725606,0.35080401557435664,0.36737778558557005,0.8860528454657196
11,"1,926",华电煤码头,1135.4772569467323,2641104.4502441823,969043.7444272398,2.7254749493328867,885224.3493732406,0.3248620510627051,0.33517203353748376,0.9135029811233741
14,"1,985",京唐港码头,389.84594898496306,2136368.5767780365,154085215.56765884,0.013864851140374054,2136368.5767780365,0.013864851140374054,1.0,0.013864851140374054
15,"1,949",秦皇岛9公司,615.5487887332569,5406603.427262507,1039850.1445511259,5.199406333300445,1039850.144551126,0.19232964994394403,0.19232964994394403,1.0000000000000002
16,"1,924",华能煤码头,321.3346737060701,2322533.5535419416,1503259.9418955664,1.5449979666279774,1142288.590236136,0.42567039397694634,0.49182867067479286,0.7598742961218962
17,"1,894",天津南疆石油化工码头,36.277846188814564,6422305.552038756,857431.0976430661,7.490171011632998,857431.0976430661,0.13350830020394705,0.13350830020394705,1.0
18,"1,896",华能煤码头,870.8901221800336,4258473.160629308,1142302.882294706,3.7279719999258933,1060635.0224856518,0.24437800926075112,0.2490646253900338,0.9285059496260778
19,"1,094",天津港集装箱码头,742.1113911930682,2098694.3234049627,4021138.398645458,0.5219154665534316,1201346.8418481543,0.24425135521559135,0.5724258308847311,0.29875789459344015
20,"1,914",鲅鱼圈钢产品码头,772.616924254794,6672094.0498876935,3900713.1400869144,1.710480573749401,3900713.1400869144,0.5846310185259712,0.5846310185259712,1.0
21,"1,877",首钢京唐码头,283.2297634960797,4514425.67436971,1060592.47187569,4.256513028407425,1060592.47187569,0.23493408649900224,0.23493408649900224,1.0
22,"1,555",中化兴中石油中转码头,1975.8339631482183,1340055.8877111014,12210799.742174063,0.10974349887032969,237666.15539226387,0.017851932164536143,0.17735540552581908,0.01946360274596959
23,"1,364",氯碱码头,60.08721858098127,1124639.603041827,193049.71605244197,5.825647538048274,193049.716052442,0.1716547376868981,0.1716547376868981,1.0000000000000002
24,"1,818",吴泾电厂,513.5676063633481,4202963.223068634,888873.5698920729,4.728415114850313,888873.5698920729,0.21148735373494315,0.21148735373494315,1.0
25,"1,092",上海通用码头,300.4261344286214,2811603.698523871,1434979.104750841,1.959334243415382,1215262.6610119182,0.4009021165625745,0.4322311361483651,0.8468852661258279
26,"1,530",宁德升港码头,156.39153471138405,1267446.1390644552,952163.5554588492,1.3311222970025047,921410.86189636,0.7097609693823691,0.7269822625965664,0.9677022992676195
28,"1,248",松门码头,65.3471576673449,1362116.5648196605,252731.37664468717,5.389582341945014,252731.3766446872,0.18554313424574492,0.18554313424574492,1.0000000000000002
29,"2,123",罗泾杂货码头,902.1956312992655,2017902.1720675651,3679925.0132899815,0.5483541552558676,1596182.0839591387,0.38915655657651593,0.7910106377078095,0.433753970038671
30,"1,891",天津北疆一公司杂货码头,118.45069660162095,2254414.2948828503,496752.82037119876,4.538301953068406,496752.82037119876,0.22034673107722302,0.22034673107722302,1.0
31,"1,537",金洋集装箱码头,277.6095748999538,1679572.5275924965,591233.7815320604,2.8407925596542043,529273.886685584,0.3039127379232762,0.31512416283936634,0.8952023771613319
32,"1,701",张家港华达码头,91.98089781148089,1391542.5424081737,1070984.4342801122,1.2993116406435283,783227.5726627487,0.46640138785569313,0.5628484568695341,0.7313155519288326
33,"1,535",温州龙湾码头,324.12724785024113,2422307.3661381053,685554.1997142083,3.5333564686029337,685554.1997142083,0.2830170148089795,0.2830170148089795,1.0
34,"1,588",上海干散码头,140.54357273245634,1078816.3982366745,233581.56144980981,4.618585437740051,233581.56144980981,0.21651650997481958,0.21651650997481953,1.0
35,"1,909",航兴岛杂货码头,668.2941538582842,2383156.507373959,3050483.8163224943,0.7812388627083323,1094514.8174765506,0.2522431803153936,0.45927106091853587,0.35880040130684615
36,"1,067",江苏长宏国际码头,666.4827015391905,5341465.137687298,2205171.7013636003,2.422244551018102,1309502.4830785755,0.2099525853286567,0.24515792003194703,0.5938324359363152
37,"2,088",江阴港（中信中煤江阴码头有限公司）,219.45633242169396,2181906.1395898927,671728.5251277237,3.248196344163025,658172.7315216459,0.29978781302007496,0.3016503412219899,0.9798195355727967
38,"2,125",华能上海石洞口电厂,726.3622571143159,1178397.2421239228,2190828.71438664,0.5378773951544793,699177.5297075232,0.2618594938911567,0.5933292311914594,0.31913838134227207
39,"1,878",首钢码头,460.8475344326708,5468218.30454961,1875690.8520351239,2.915308937299873,1810636.633711302,0.32722708419411756,0.3311200345101136,0.9653171959263767
40,"1,801",新泰港务码头,507.3771729567526,2408352.8167147455,807614.0669090635,2.982059024717215,807614.0669090635,0.3353387681837816,0.3353387681837816,1.0
41,"1,469",干散码头,250.11056307345385,1473033.633234913,547249.6362523156,2.691703266031509,522642.5304009637,0.34897723917408685,0.3548069226723589,0.9550349525677774
42,"1,257",黄埔冷冻厂码头,604.5194538387897,2617315.482140924,178318.84473868302,14.67772789789247,178318.84473868302,0.06813043592009815,0.06813043592009815,1.0
43,"1,207",湛江码头,412.3181875793564,972383.7733184303,1384862.6702194295,0.7021517687124583,730909.3725606445,0.44942059404786483,0.7516675952605503,0.5277847314960356
44,"1,320",揭阳泰都钢厂码头,126.59486594135625,1647980.6682257482,249860.94991518874,6.5955911429342144,249860.9499151887,0.1516164326030562,0.1516164326030562,0.9999999999999999
45,"1,308",罗屿港码头,884.9848011676502,1128974.472862219,6928934.886307828,0.162936222000465,1074191.1402427456,0.15381364290034905,0.9514751361201422,0.15502976400679414
46,"1,261",龙沙码头,82.43571112759594,1490601.2536873291,223105.93915302653,6.681136590742831,223105.9391530265,0.14967513183094744,0.14967513183094744,0.9999999999999999
47,"1,836",董家口华能码头,271.2797278642348,7352981.66986089,1481226.9204832944,4.964115604556904,1481220.5189866798,0.2014447058273573,0.2014448812048654,0.9999956782471842
48,"1,418",芜湖海螺码头,187.65975140894008,2000604.879798227,670097.8874425668,2.985541242986975,654475.5018999703,0.3246040330623828,0.32713881112095367,0.9766864127833332
49,"1,750",海阳港货码头,1437.1918393317037,1136837.3580726483,6708348.136346079,0.16946606451642265,885094.3590767966,0.12716706460673582,0.7785584743426734,0.13193924064276308
50,"1,932",防城码头,1339.58943399735,2379157.767307621,1000354.6484088544,2.378314301924688,544725.7517766949,0.19215758233448021,0.22895738956947567,0.5445326341444263
51,"1,318",揭阳宏东码头,51.5104262084812,2445452.6261359737,212875.1291559946,11.487732906289628,212875.12915599457,0.08704937764112636,0.08704937764112636,0.9999999999999999
52,"1,518",沙市码头,295.57662325009136,3400916.14458706,958490.0118648015,3.548201966101209,958490.0118648016,0.2818328859387922,0.28183288593879213,1.0000000000000002
53,"1,451",防城渔澫第五区,324.79748231552264,2088450.8386318556,923845.454612632,2.2606062823652056,900657.7805502346,0.42652081553536336,0.43125639535774546,0.9749009166558924
54,"1,672",东国钢铁码头,476.5277753740444,4436942.429060993,877531.7369028823,5.056161780222925,840817.2267152091,0.18794852581083724,0.18950374952085067,0.9581616155362634
55,"1,955",鲅鱼圈煤码头,877.9911002395907,5002901.786481923,4909825.011739212,1.0189572488877237,2304252.7627867297,0.30285346996720985,0.46058324970778547,0.46931464100601256
56,"2,029",南京龙潭码头,347.4340528615478,1941225.6292802403,821274.1726928395,2.3636754860015157,744968.3219456689,0.36924743396596094,0.3837618413382916,0.9070884568341231
