terminal_id,lat,lon,berth_count,dwell_minutes,center_method,polygon
0,36.02856796969697,120.22749515151516,9,56625.850000000006,duration_weighted_berth_medoid,"POLYGON ((120.20520655088416 36.00796523071767, 120.23611019103176 36.00796523071767, 120.23611019103176 36.03269169012896, 120.20520655088416 36.03269169012896, 120.20520655088416 36.00796523071767))"
1,29.96974581818182,121.73142313636363,5,288044.05,duration_weighted_berth_medoid,"POLYGON ((121.7211078866936 29.961105177188376, 121.7445702557581 29.961105177188376, 121.7445702557581 29.978206472726967, 121.7211078866936 29.978206472726967, 121.7211078866936 29.961105177188376))"
2,34.4283146,119.7939092,2,31355.166666666668,duration_weighted_berth_medoid,"POLYGON ((119.78886996857047 34.42416704413942, 119.80060991271614 34.42416704413942, 119.80060991271614 34.43718075162462, 119.78886996857047 34.43718075162462, 119.78886996857047 34.42416704413942))"
3,39.20837098148149,118.99111805555556,12,360005.01666666666,duration_weighted_berth_medoid,"POLYGON ((118.97409159927066 39.19510004225265, 119.00513909555998 39.19510004225265, 119.00513909555998 39.21976051811441, 118.97409159927066 39.21976051811441, 118.97409159927066 39.19510004225265))"
4,39.21045625,119.00892791666666,8,372588.26666666666,duration_weighted_berth_medoid,"POLYGON ((118.99907076264884 39.197501306748656, 119.02522341235117 39.197501306748656, 119.02522341235117 39.21501055436826, 118.99907076264884 39.21501055436826, 118.99907076264884 39.197501306748656))"
5,34.475525634920636,119.78628074603174,1,62845.450000000004,duration_weighted_berth_medoid,"POLYGON ((119.77942362931553 34.46916547229102, 119.7937798144891 34.46916547229102, 119.7937798144891 34.482340458316365, 119.77942362931553 34.482340458316365, 119.77942362931553 34.46916547229102))"
6,34.442998,119.79618388235295,2,42015.816666666666,duration_weighted_berth_medoid,"POLYGON ((119.79061098728458 34.436147767068135, 119.8012926379125 34.436147767068135, 119.8012926379125 34.4501136453847, 119.79061098728458 34.4501136453847, 119.79061098728458 34.436147767068135))"
7,34.590170729166665,119.60588560416666,3,29343.016666666663,duration_weighted_berth_medoid,"POLYGON ((119.60086638962312 34.58356713182007, 119.61700202997316 34.58356713182007, 119.61700202997316 34.5943439029362, 119.60086638962312 34.5943439029362, 119.60086638962312 34.58356713182007))"
8,38.947784999999996,118.45825825,7,131846.51666666666,duration_weighted_berth_medoid,"POLYGON ((118.4490194626489 38.94051004030193, 118.46904465321255 38.94051004030193, 118.46904465321255 38.96214348074118, 118.4490194626489 38.96214348074118, 118.4490194626489 38.94051004030193))"
9,38.96871393442623,118.45514906557376,6,144761.45,duration_weighted_berth_medoid,"POLYGON ((118.45001860651463 38.95666708215355, 118.46022290072932 38.95666708215355, 118.46022290072932 38.977878794050646, 118.45001860651463 38.977878794050646, 118.45001860651463 38.95666708215355))"
10,38.9963995,118.45519483333334,4,47813.733333333344,duration_weighted_berth_medoid,"POLYGON ((118.44981022970885 38.98614855580528, 118.46029635362449 38.98614855580528, 118.46029635362449 39.01001031644872, 118.44981022970885 39.01001031644872, 118.44981022970885 38.98614855580528))"
11,38.97720117857143,118.45511096428572,5,122197.11666666667,duration_weighted_berth_medoid,"POLYGON ((118.45004982149287 38.972333613090385, 118.46033660072929 38.972333613090385, 118.46033660072929 38.99081220536157, 118.45004982149287 38.99081220536157, 118.45004982149287 38.972333613090385))"
12,39.576325,121.262405,2,205416.55,duration_weighted_berth_medoid,"POLYGON ((121.25315703764882 39.57124997011818, 121.26953637068445 39.57124997011818, 121.26953637068445 39.583710676281285, 121.25315703764882 39.583710676281285, 121.25315703764882 39.57124997011818))"
13,39.58503143478261,121.28841873913044,2,191042.55000000002,duration_weighted_berth_medoid,"POLYGON ((121.28217173827794 39.58006515883399, 121.29651694663977 39.58006515883399, 121.29651694663977 39.59423109130677, 121.28217173827794 39.59423109130677, 121.28217173827794 39.58006515883399))"
14,39.214932000000005,119.03197606896552,4,56414.91666666666,duration_weighted_berth_medoid,"POLYGON ((119.02450819153536 39.209729626895296, 119.04191265639878 39.209729626895296, 119.04191265639878 39.22141299040658, 119.02450819153536 39.22141299040658, 119.02450819153536 39.209729626895296))"
15,39.92469474647887,119.67636757746479,11,170443.73333333334,duration_weighted_berth_medoid,"POLYGON ((119.66063181764302 39.90998670720093, 119.68263857124585 39.90998670720093, 119.68263857124585 39.93708323040737, 119.66063181764302 39.93708323040737, 119.66063181764302 39.90998670720093))"
16,38.94346063414634,118.4467070487805,1,44827.4,duration_weighted_berth_medoid,"POLYGON ((118.43877074836313 38.938176704848196, 118.45445131861423 38.938176704848196, 118.45445131861423 38.94874411108388, 118.43877074836313 38.94874411108388, 118.43877074836313 38.938176704848196))"
17,38.97226310810811,117.76098777027026,10,124744.58333333333,duration_weighted_berth_medoid,"POLYGON ((117.74753978868004 38.96597075392639, 117.7812664722807 38.96597075392639, 117.7812664722807 38.98646343339073, 117.74753978868004 38.98646343339073, 117.74753978868004 38.96597075392639))"
18,38.973708499999994,117.7859677962963,7,57026.46666666667,duration_weighted_berth_medoid,"POLYGON ((117.77383401593735 38.963282918223506, 117.79405837759712 38.963282918223506, 117.79405837759712 38.98312718128748, 117.77383401593735 38.98312718128748, 117.77383401593735 38.963282918223506))"
19,38.9839079375,117.78047471875,4,20215.350000000002,duration_weighted_berth_medoid,"POLYGON ((117.77435648461079 38.977508877032754, 117.78924173883514 38.977508877032754, 117.78924173883514 38.99103283520617, 117.77435648461079 38.99103283520617, 117.77435648461079 38.977508877032754))"
20,40.2523666375,122.08205977499999,1,241000.5,duration_weighted_berth_medoid,"POLYGON ((122.07687592690378 40.24314508019543, 122.09661973406263 40.24314508019543, 122.09661973406263 40.26508927522607, 122.07687592690378 40.26508927522607, 122.07687592690378 40.24314508019543))"
21,38.96738914423077,118.47184888461538,1,281037.7666666667,duration_weighted_berth_medoid,"POLYGON ((118.46440607375999 38.95703002370649, 118.4821473617222 38.95703002370649, 118.4821473617222 38.97416832508784, 118.46440607375999 38.97416832508784, 118.46440607375999 38.95703002370649))"
22,29.97054466292135,122.15078051685393,1,67108.95000000001,duration_weighted_berth_medoid,"POLYGON ((122.14536696264885 29.96601632648164, 122.15673193277024 29.96601632648164, 122.15673193277024 29.976061129074164, 122.14536696264885 29.976061129074164, 122.14536696264885 29.96601632648164))"
23,31.024236609375,121.486345109375,1,28667.983333333334,duration_weighted_berth_medoid,"POLYGON ((121.481126512365 31.019090512559536, 121.49156395210935 31.019090512559536, 121.49156395210935 31.028542812431766, 121.481126512365 31.028542812431766, 121.481126512365 31.019090512559536))"
24,31.056826382352938,121.47264359558824,8,139704.48333333334,duration_weighted_berth_medoid,"POLYGON ((121.4622014200269 31.04691946848682, 121.47950316897297 31.04691946848682, 121.47950316897297 31.077234892442117, 121.4622014200269 31.077234892442117, 121.4622014200269 31.04691946848682))"
25,31.04006892,121.47640691999999,4,57890.93333333334,duration_weighted_berth_medoid,"POLYGON ((121.47044922002685 31.02984584887583, 121.48216679348533 31.02984584887583, 121.48216679348533 31.050951618306463, 121.47044922002685 31.050951618306463, 121.47044922002685 31.02984584887583))"
26,26.72602115384615,119.73616476923077,2,67223.65,duration_weighted_berth_medoid,"POLYGON ((119.73013496264889 26.719808627857297, 119.74116270401771 26.719808627857297, 119.74116270401771 26.73055220189684, 119.73013496264889 26.73055220189684, 119.73013496264889 26.719808627857297))"
27,31.133493692307695,121.45783084615384,1,2505.75,duration_weighted_berth_medoid,"POLYGON ((121.45268412931559 31.12818476222873, 121.46486717124581 31.12818476222873, 121.46486717124581 31.13769670851049, 121.45268412931559 31.13769670851049, 121.45268412931559 31.12818476222873))"
28,26.0411542,119.50263850000002,1,31001.216666666667,duration_weighted_berth_medoid,"POLYGON ((119.49715060651461 26.035870352773067, 119.5079649333148 26.035870352773067, 119.5079649333148 26.047140435560927, 119.49715060651461 26.047140435560927, 119.49715060651461 26.035870352773067))"
29,31.49786483435583,121.37119857055215,3,40888.83333333333,duration_weighted_berth_medoid,"POLYGON ((121.36532480375415 31.49273292272705, 121.38010115971916 31.49273292272705, 121.38010115971916 31.505688471146662, 121.36532480375415 31.505688471146662, 121.36532480375415 31.49273292272705))"
30,38.98517462831859,117.7388952920354,4,35501.183333333334,duration_weighted_berth_medoid,"POLYGON ((117.72676882002695 38.98034995707266, 117.74637170401775 38.98034995707266, 117.74637170401775 38.9914998299604, 117.72676882002695 38.9914998299604, 117.72676882002695 38.98034995707266))"
31,27.997375842857142,120.87555838571427,1,104632.46666666669,duration_weighted_berth_medoid,"POLYGON ((120.86752167875414 27.992754885770434, 120.88344704834833 27.992754885770434, 120.88344704834833 28.001845071978998, 120.86752167875414 28.001845071978998, 120.86752167875414 27.992754885770434))"
32,31.998684683544305,120.5561041392405,1,13683.55,duration_weighted_berth_medoid,"POLYGON ((120.5493046287368 31.994180849719573, 120.56243779346806 31.994180849719573, 120.56243779346806 32.003115687095374, 120.5493046287368 32.003115687095374, 120.5493046287368 31.994180849719573))"
33,27.97040362162162,120.7919195,2,129266.5,duration_weighted_berth_medoid,"POLYGON ((120.78024477250416 27.965565747293635, 120.8016757190091 27.965565747293635, 120.8016757190091 27.976390742764035, 120.78024477250416 27.976390742764035, 120.78024477250416 27.965565747293635))"
34,31.31232717721519,121.55483663291139,1,21990.766666666666,duration_weighted_berth_medoid,"POLYGON ((121.54984367415325 31.308023163841497, 121.55995810362454 31.308023163841497, 121.55995810362454 31.317485166604175, 121.54984367415325 31.317485166604175, 121.54984367415325 31.308023163841497))"
35,39.50829981640625,121.27224996875,2,34854.98333333333,duration_weighted_berth_medoid,"POLYGON ((121.26708005375414 39.49686000473952, 121.27727978168168 39.49686000473952, 121.27727978168168 39.51360041501789, 121.26708005375414 39.51360041501789, 121.26708005375414 39.49686000473952))"
36,31.923670414715723,120.16438249498329,10,228609.09999999998,duration_weighted_berth_medoid,"POLYGON ((120.14001034875416 31.91582595550922, 120.17470195755708 31.91582595550922, 120.17470195755708 31.93232204981693, 120.14001034875416 31.93232204981693, 120.14001034875416 31.91582595550922))"
37,31.9320282987013,120.12951923376625,2,43897.08333333333,duration_weighted_berth_medoid,"POLYGON ((120.12366442875415 31.925692879037257, 120.14273360005699 31.925692879037257, 120.14273360005699 31.936278200399677, 120.12366442875415 31.936278200399677, 120.12366442875415 31.925692879037257))"
38,31.47966566666667,121.40186585714285,1,15119.65,duration_weighted_berth_medoid,"POLYGON ((121.39684389598219 31.474756289584633, 121.40765271473558 31.474756289584633, 121.40765271473558 31.484097756925735, 121.39684389598219 31.484097756925735, 121.39684389598219 31.474756289584633))"
39,38.95535621454545,118.48164275636363,1,253440.63333333336,duration_weighted_berth_medoid,"POLYGON ((118.47318296264893 38.94443248867726, 118.49235450150452 38.94443248867726, 118.49235450150452 38.963439990871514, 118.47318296264893 38.963439990871514, 118.47318296264893 38.94443248867726))"
40,31.740033266666668,121.04287126666667,2,49846.56666666667,duration_weighted_berth_medoid,"POLYGON ((121.02971223310195 31.735533845735482, 121.04851558698502 31.735533845735482, 121.04851558698502 31.747780075828523, 121.02971223310195 31.747780075828523, 121.02971223310195 31.735533845735482))"
41,19.96389988372093,110.03564493023255,2,9710.400000000001,duration_weighted_berth_medoid,"POLYGON ((110.02967003340531 19.95894606414032, 110.04369460401175 19.95894606414032, 110.04369460401175 19.969082973097752, 110.02967003340531 19.969082973097752, 110.02967003340531 19.95894606414032))"
42,23.095037021276596,113.43569608510639,3,84745.08333333336,duration_weighted_berth_medoid,"POLYGON ((113.42705305375415 23.089678134314326, 113.45072790362448 23.089678134314326, 113.45072790362448 23.100042594005238, 113.42705305375415 23.100042594005238, 113.42705305375415 23.089678134314326))"
43,21.078314313253014,110.43014508433735,1,13281.650000000001,duration_weighted_berth_medoid,"POLYGON ((110.42523034634829 21.073439069423674, 110.43537948187988 21.073439069423674, 110.43537948187988 21.082887180878025, 110.42523034634829 21.082887180878025, 110.42523034634829 21.073439069423674))"
44,23.444005131578947,116.50524764473685,2,26481.6,duration_weighted_berth_medoid,"POLYGON ((116.49694512931553 23.437888105856256, 116.51210146289196 23.437888105856256, 116.51210146289196 23.448604641676045, 116.49694512931553 23.448604641676045, 116.49694512931553 23.437888105856256))"
45,25.186847245614032,119.01362978947368,1,3839.116666666667,duration_weighted_berth_medoid,"POLYGON ((119.00851921553105 25.182376170944032, 119.01940197862446 25.182376170944032, 119.01940197862446 25.191773034317592, 119.00851921553105 25.191773034317592, 119.00851921553105 25.182376170944032))"
46,23.060967670731706,113.48216118292682,1,40054.866666666676,duration_weighted_berth_medoid,"POLYGON ((113.47525630190391 23.05591235980064, 113.48826290457916 23.05591235980064, 113.48826290457916 23.066215214884394, 113.47525630190391 23.066215214884394, 113.47525630190391 23.05591235980064))"
47,35.596761560509556,119.79058261146498,1,169947.0,duration_weighted_berth_medoid,"POLYGON ((119.78022906472265 35.58169757353122, 119.79919343625699 35.58169757353122, 119.79919343625699 35.608475350367335, 119.78022906472265 35.608475350367335, 119.78022906472265 35.58169757353122))"
48,31.22124368181818,118.11658554545456,1,43799.883333333324,duration_weighted_berth_medoid,"POLYGON ((118.10982772002686 31.21577467190848, 118.12427857124581 31.21577467190848, 118.12427857124581 31.22674783939447, 118.10982772002686 31.22674783939447, 118.10982772002686 31.21577467190848))"
49,36.67145516981132,121.23532349056603,1,6881.333333333333,duration_weighted_berth_medoid,"POLYGON ((121.23029891811123 36.66719967710602, 121.24027525906267 36.66719967710602, 121.24027525906267 36.67657170931613, 121.23029891811123 36.67657170931613, 121.23029891811123 36.66719967710602))"
50,21.572527901960783,108.3583975882353,2,60316.21666666667,duration_weighted_berth_medoid,"POLYGON ((108.3509608454208 21.560116746174224, 108.36396723406506 21.560116746174224, 108.36396723406506 21.57914344044561, 108.3509608454208 21.57914344044561, 108.3509608454208 21.560116746174224))"
51,23.4927091875,116.488474375,2,110885.01666666668,duration_weighted_berth_medoid,"POLYGON ((116.48101253401728 23.485850308187437, 116.49384973791248 23.485850308187437, 116.49384973791248 23.50502088229471, 116.48101253401728 23.50502088229471, 116.48101253401728 23.485850308187437))"
52,25.9826992625,119.47049059999999,4,129442.38333333335,duration_weighted_berth_medoid,"POLYGON ((119.46033814303983 25.972913730977808, 119.48099594663978 25.972913730977808, 119.48099594663978 25.994019527922838, 119.46033814303983 25.994019527922838, 119.46033814303983 25.972913730977808))"
53,21.619233634615384,108.37241207692308,2,67768.9,duration_weighted_berth_medoid,"POLYGON ((108.36654772287179 21.613064062365915, 108.3802467547424 21.613064062365915, 108.3802467547424 21.62834913696864, 108.36654772287179 21.62834913696864, 108.36654772287179 21.613064062365915))"
54,31.923939909090908,120.18327490909091,8,74733.55,duration_weighted_berth_medoid,"POLYGON ((120.17167193260403 31.912618266178576, 120.19874524806892 31.912618266178576, 120.19874524806892 31.92845940937554, 120.17167193260403 31.92845940937554, 120.17167193260403 31.912618266178576))"
