reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
0,0,13048353.04405607,0.0,0.0
1,1,213229.19406605404,213229.19406605404,1.0
2,1,341905.39229287533,341905.3922928753,0.9999999999999998
3,1,343450.08897503815,343450.0889750382,1.0000000000000002
4,1,237478.4357839573,237206.51572374837,0.9988549694657063
5,2,232654.27027448412,215751.02149794676,0.9273460626508381
6,1,117145.11890506306,117145.11890506306,1.0
7,1,99321.97778675886,99321.97778675886,1.0
8,1,338771.66757761326,329196.33699725365,0.9717351493741256
9,1,189345.25771579437,189345.25771579437,1.0
10,1,197511.63386746653,197511.63386746653,1.0
11,1,60534.74925737438,60534.74925737438,1.0
12,1,372787.7222181483,368123.13233342115,0.9874872759838439
13,1,649385.873390187,258094.17282446584,0.3974434668205179
14,1,230466.71013101458,230466.71013101458,1.0
15,1,1667042.7190973812,671859.0781509177,0.4030245118821521
16,1,4194015.717290799,73707.70503679095,0.01757449423303635
17,0,328305.89060628763,0.0,0.0
18,1,167052.6595056087,167052.6595056087,1.0
19,1,99084.6429776756,99084.6429776756,1.0
20,1,206826.7010878385,108794.68708916624,0.5260185774706214
21,1,665671.582105101,665671.5821051011,1.0000000000000002
22,1,185316.7351701249,185316.73517012494,1.0000000000000002
23,1,1171520.1527595022,779242.9565026466,0.6651554005854263
24,0,845473.4444011385,0.0,0.0
25,1,582295.3665204055,513933.73889102554,0.8825997396512267
26,0,12385868.551545098,0.0,0.0
27,1,542247.5992759031,531473.4576712,0.9801305868037213
28,0,132261.87966752273,0.0,0.0
29,1,4750167.570160037,1358972.555779157,0.286089392786068
30,0,12500712.687833231,0.0,0.0
31,1,65525.44540680016,65525.44540680015,0.9999999999999999
32,1,535051.3642725642,534790.011823173,0.9995115376450886
33,0,2393920.724472728,0.0,0.0
34,1,1373849.3129178297,1062002.402623042,0.7730122893663817
35,1,32481876.821281265,1192962.9911865639,0.03672703390110039
36,1,762791.0229720993,762791.0229720993,1.0
37,1,247433.2469728364,247433.24697283644,1.0000000000000002
38,1,734689.3723689977,642703.6058765069,0.8747963834077472
39,1,2205171.7013636003,1493576.1533516315,0.6773060584933395
40,1,138749.4065949395,138749.40659493947,0.9999999999999998
41,1,8765397.270823073,1703201.1845587594,0.19430963959022343
42,2,657963.3873341212,626202.3550393416,0.9517282680067258
43,1,400203.98848398635,148819.03453549134,0.3718579494902914
44,1,227969.28882481362,22828.842563263643,0.10013999114067863
45,1,339300.9758468518,339300.9758468518,1.0
46,1,217634.2867478973,217634.2867478973,1.0
47,2,722006.2165425394,722006.2165425394,1.0
48,1,505239.14739276806,505239.14739276795,0.9999999999999998
49,0,12577996.25656017,0.0,0.0
50,0,145612.74814269578,0.0,0.0
51,1,255104.04611698515,255104.0461169852,1.0000000000000002
52,0,128212957.4787501,0.0,0.0
53,2,577257.1302636579,577257.1302636579,1.0
54,3,2281135.898568332,2175066.698583573,0.9535015866212402
55,0,95645644.53560019,0.0,0.0
56,0,5995354.877425437,0.0,0.0
57,1,1808535.1762712852,1746388.060252625,0.9656367667966564
58,1,1901110.9741295152,956672.8485877276,0.5032177824473245
59,2,1434979.104750841,1434979.1047508414,1.0000000000000002
60,3,4021138.398645458,4021138.3986454573,0.9999999999999999
61,1,388941.08438088174,388941.08438088174,1.0
62,0,276313.71381131187,0.0,0.0
63,1,789488.9753946725,730420.9006815725,0.9251818878362787
64,1,10049234.676696967,1806471.6153600696,0.17976210860604858
65,0,4140017.0130900685,0.0,0.0
66,2,1462595.206103628,835774.5081090594,0.5714325499093992
67,0,2251003.1204916113,0.0,0.0
68,1,5371293.061428479,1227003.2452298454,0.22843721822609464
69,2,2504642.6380746122,1950736.9830756173,0.7788484286825056
70,0,2781742.823348893,0.0,0.0
71,2,40806165.20060889,2824126.9891553,0.06920834082966365
72,0,21022299.914926246,0.0,0.0
73,0,8881881.091109004,0.0,0.0
74,1,1035840.7040690768,792614.4036253974,0.7651894741264584
75,0,2210238.756206582,0.0,0.0
76,1,1045519.0038064714,1044893.0456178482,0.9994012942984831
77,1,1863940.893602357,1040677.9196456915,0.5583213090166281
78,0,7204353.800296614,0.0,0.0
79,0,732772.7156526038,0.0,0.0
80,1,282533.817778483,282533.8177784829,0.9999999999999998
81,1,521973.6529867938,521612.08077686134,0.999307297968272
82,1,1539315.5938625638,1268289.2553592683,0.8239306224247256
83,2,1182825.6457440285,895229.6378740331,0.7568568039551679
84,1,382043.7217254282,382043.7217254281,0.9999999999999999
85,1,3348927.577110405,1120536.997257838,0.33459576878180336
86,0,967650.4955005391,0.0,0.0
87,1,1858049.9113188772,1005997.5651510812,0.5414265564249595
88,1,454336.7692123485,454336.76921234844,0.9999999999999999
89,1,1703567.5318350175,458455.83438929985,0.26911515148182524
90,0,10968011.800863873,0.0,0.0
91,0,8885138.743584681,0.0,0.0
92,0,508051.9319807554,0.0,0.0
93,0,10241841.004503885,0.0,0.0
94,1,13406028.31853687,968832.0824862949,0.07226838997100023
95,1,8930802.908369645,628937.9718029462,0.07042345220870644
96,0,4854731.070025525,0.0,0.0
97,0,308814.27358968643,0.0,0.0
98,1,391725.2576772134,391725.2576772134,1.0
99,0,12772881.019441739,0.0,0.0
100,1,1247858.5099051807,567252.6109734409,0.4545808731284318
101,1,1098235.837407365,1098235.8374073647,0.9999999999999998
102,1,1250476.8845579382,852854.0676980163,0.682023057147124
103,0,4348373.916592514,0.0,0.0
104,0,5651871.628296956,0.0,0.0
105,1,7803581.738727476,1757883.5792481676,0.22526624800047576
106,1,9992557.07649948,2503911.645600907,0.2505776676011801
107,2,9004720.209173787,3010588.8285896135,0.33433452219009535
108,1,2668547.5451151906,1591248.9989617113,0.5962977882385916
109,0,908786.7559689127,0.0,0.0
110,1,588104.0326295218,388719.63232064317,0.6609708669784253
