prediction_index,reference_index,overlap_area_m2,relation
0,653,6330659.165904024,部分重叠
0,654,2992441.706107648,部分重叠
1,436,2861083.715858945,部分重叠
2,574,247.68286459868946,部分重叠
2,827,583794.2057354134,预测包含真实
3,797,12244634.120085163,真实包含预测
4,797,7323078.539558752,真实包含预测
5,575,854602.2601567039,部分重叠
6,637,517478.9856893501,预测包含真实
7,329,2617506.432332871,真实包含预测
8,736,186393.72872520253,部分重叠
8,740,2022042.1438129735,部分重叠
9,740,664024.3242198243,部分重叠
9,739,928880.3024140655,部分重叠
10,738,405421.8205125689,部分重叠
10,737,1305785.1093017126,部分重叠
11,739,464823.51945444813,部分重叠
11,738,904153.9148689664,部分重叠
12,766,2242179.793870629,部分重叠
13,766,2283148.2395577943,部分重叠
14,797,3252345.554695333,真实包含预测
15,761,1039850.144551126,预测包含真实
15,763,597451.9066313319,预测包含真实
15,762,557414.6655201679,预测包含真实
16,736,1193317.7641627276,部分重叠
16,740,66303.13576809238,部分重叠
17,705,295026.05698258575,部分重叠
17,60,2428609.5947126984,部分重叠
17,700,797122.4286314052,预测包含真实
17,701,436048.64700163424,预测包含真实
17,702,193465.0342426235,部分重叠
17,708,566055.5966947704,部分重叠
17,707,337276.4855651953,预测包含真实
17,706,857431.0976430661,预测包含真实
18,60,2635338.660987212,部分重叠
18,709,376922.0633292314,部分重叠
18,708,1109964.0698012789,部分重叠
19,60,1646429.509259601,部分重叠
19,54,164011.81463857737,部分重叠
19,712,450892.55067397625,部分重叠
20,726,3900713.1400869144,预测包含真实
20,724,290160.68887122755,部分重叠
21,690,365650.6349602869,部分重叠
21,689,1060592.47187569,预测包含真实
21,688,148903.03841895342,部分重叠
22,441,356813.6222180942,部分重叠
23,271,193049.716052442,预测包含真实
24,59,442940.6856967438,部分重叠
24,632,888873.5698920729,预测包含真实
24,48,505239.14739276795,预测包含真实
25,59,1241468.114516776,部分重叠
26,416,951374.7257951414,部分重叠
28,158,252731.3766446872,预测包含真实
29,917,1852209.7739271712,部分重叠
30,705,11432.408379448078,部分重叠
30,702,104835.27034893722,部分重叠
30,704,320941.5175162895,部分重叠
30,703,496752.82037119876,预测包含真实
31,423,543574.0300450784,部分重叠
32,534,865589.5808561957,部分重叠
33,421,685554.1997142083,预测包含真实
33,420,443949.01749521337,部分重叠
34,459,233581.56144980981,预测包含真实
34,304,28003.731675418985,部分重叠
35,721,1177053.3036918635,部分重叠
36,39,1493576.1533516315,部分重叠
36,510,362168.5926282414,部分重叠
36,880,3893791.3226392036,部分重叠
36,881,125752.8806694911,部分重叠
