reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
0,0,13048353.04405607,0.0,0.0
1,1,213229.19406605404,213229.19406605404,1.0
2,1,341905.39229287533,341905.3922928753,0.9999999999999998
3,1,343450.08897503815,343450.0889750382,1.0000000000000002
4,1,237478.4357839573,237199.05353096584,0.9988235468535526
5,2,232654.27027448412,215746.868594838,0.9273282125460286
6,1,117145.11890506306,117145.11890506306,1.0
7,1,99321.97778675886,99321.97778675886,1.0
8,1,338771.66757761326,329204.2703857606,0.9717585674732945
9,1,189345.25771579437,189345.25771579437,1.0
10,1,197511.63386746653,197511.63386746653,1.0
11,1,60534.74925737438,60534.74925737438,1.0
12,1,372787.7222181483,368130.2364247893,0.9875063326505331
13,1,649385.873390187,258073.8906569492,0.3974122339767685
14,1,230466.71013101458,230466.71013101458,1.0
15,1,1667042.7190973812,671832.797503863,0.4030087470509611
16,1,4194015.717290799,73723.3907947104,0.017578234266211423
17,0,328305.89060628763,0.0,0.0
18,1,167052.6595056087,167052.6595056087,1.0
19,1,99084.6429776756,99084.6429776756,1.0
20,1,206826.7010878385,108782.03230144164,0.525957392006375
21,1,665671.582105101,665671.5821051011,1.0000000000000002
22,1,185316.7351701249,185316.73517012494,1.0000000000000002
23,1,1171520.1527595022,779235.8303385313,0.6651493177501474
24,0,845473.4444011385,0.0,0.0
25,1,582295.3665204055,513933.12510510767,0.8825986855711959
26,0,12385868.551545098,0.0,0.0
27,1,542247.5992759031,531467.0993394695,0.9801188609210452
28,0,132261.87966752273,0.0,0.0
29,1,4750167.570160037,1359032.302262561,0.28610197054938297
30,0,12500712.687833231,0.0,0.0
31,1,65525.44540680016,65525.44540680015,0.9999999999999999
32,1,535051.3642725642,534788.7940467977,0.9995092616460786
33,0,2393920.724472728,0.0,0.0
34,1,1373849.3129178297,1062045.6973377136,0.7730438028040377
35,1,32481876.821281265,1193005.2765597184,0.03672833571544403
36,1,762791.0229720993,762791.0229720993,1.0
37,1,247433.2469728364,247433.24697283644,1.0000000000000002
38,1,734689.3723689977,642692.9476943914,0.8747818763486875
39,1,2205171.7013636003,1493569.0733089438,0.6773028478396369
40,1,138749.4065949395,138749.40659493947,0.9999999999999998
41,1,8765397.270823073,1703305.162270684,0.19432150188336453
42,2,657963.3873341212,626183.8892541721,0.9517002029418226
43,1,400203.98848398635,148810.73781398285,0.3718372182588513
44,1,227969.28882481362,22822.537934817636,0.1001123355363711
45,1,339300.9758468518,339300.9758468518,1.0
46,1,217634.2867478973,217634.2867478973,1.0
47,2,722006.2165425394,722006.2165425394,1.0
48,1,505239.14739276806,505239.14739276795,0.9999999999999998
49,0,12577996.25656017,0.0,0.0
50,0,145612.74814269578,0.0,0.0
51,1,255104.04611698515,255104.0461169852,1.0000000000000002
52,0,128212957.4787501,0.0,0.0
53,2,577257.1302636579,577257.1302636579,1.0
54,2,2281135.898568332,1392255.6958317952,0.6103343938016106
55,0,95645644.53560019,0.0,0.0
56,0,5995354.877425437,0.0,0.0
57,1,1808535.1762712852,1746342.6599049245,0.9656116634155908
58,1,1901110.9741295152,956667.5338079939,0.5032149868294957
59,2,1434979.104750841,1434979.1047508414,1.0000000000000002
60,3,4021138.398645458,4009099.683713631,0.99700614260482
61,1,388941.08438088174,388941.08438088174,1.0
62,0,276313.71381131187,0.0,0.0
63,1,789488.9753946725,730421.2903210468,0.9251823813700537
64,1,10049234.676696967,1806483.6279011047,0.1797633039747927
65,0,4140017.0130900685,0.0,0.0
66,2,1462595.206103628,835790.6402346692,0.5714435797046169
67,0,2251003.1204916113,0.0,0.0
68,1,5371293.061428479,1227049.2921790467,0.2284457910126983
69,2,2504642.6380746122,1950679.4045486602,0.7788254399630444
70,0,2781742.823348893,0.0,0.0
71,2,40806165.20060889,2824183.009173599,0.06920971366188211
72,0,21022299.914926246,0.0,0.0
73,0,8881881.091109004,0.0,0.0
74,1,1035840.7040690768,792624.3572451582,0.765199083345059
75,0,2210238.756206582,0.0,0.0
76,1,1045519.0038064714,1044891.7153483588,0.9994000219452457
77,1,1863940.893602357,1040696.2159282889,0.558331124930137
78,0,7204353.800296614,0.0,0.0
79,0,732772.7156526038,0.0,0.0
80,1,282533.817778483,282533.8177784829,0.9999999999999998
81,1,521973.6529867938,521610.8479584156,0.9993049361279018
82,1,1539315.5938625638,1268261.5939898735,0.8239126525103655
83,2,1182825.6457440285,790516.1553595444,0.668328555610822
84,1,382043.7217254282,382043.7217254281,0.9999999999999999
85,1,3348927.577110405,1120560.029604543,0.33460264631085546
86,0,967650.4955005391,0.0,0.0
87,1,1858049.9113188772,1006005.6104462318,0.5414308863921481
88,1,454336.7692123485,454336.76921234844,0.9999999999999999
89,1,1703567.5318350175,458412.8785705499,0.26908993626848776
90,0,10968011.800863873,0.0,0.0
91,0,8885138.743584681,0.0,0.0
92,0,508051.9319807554,0.0,0.0
93,0,10241841.004503885,0.0,0.0
94,1,13406028.31853687,968893.5985567493,0.07227297865819322
95,1,8930802.908369645,628947.1776294811,0.07042448300365615
96,0,4854731.070025525,0.0,0.0
97,0,308814.27358968643,0.0,0.0
98,1,391725.2576772134,391725.2576772134,1.0
99,0,12772881.019441739,0.0,0.0
100,1,1247858.5099051807,567343.3777966653,0.4546536112013014
101,1,1098235.837407365,1098235.8374073647,0.9999999999999998
102,1,1250476.8845579382,852878.6886762695,0.6820427464181191
103,0,4348373.916592514,0.0,0.0
104,0,5651871.628296956,0.0,0.0
105,1,7803581.738727476,1757950.6600606178,0.22527484415730428
106,1,9992557.07649948,2503861.3878727555,0.2505726380849345
107,2,9004720.209173787,3010542.9604147673,0.33432942839775304
108,1,2668547.5451151906,1591240.3182144444,0.5962945352527931
109,0,908786.7559689127,0.0,0.0
110,1,588104.0326295218,388714.78116670914,0.6609626181760624
