prediction_index,reference_index,overlap_area_m2,relation
0,653,3436518.5671139914,部分重叠
0,654,2992467.067716244,部分重叠
1,436,2757228.5963739054,部分重叠
2,827,583794.2057354134,预测包含真实
3,797,11048112.3456045,真实包含预测
4,797,6373646.840468351,真实包含预测
5,575,854602.391445133,部分重叠
6,637,517478.9856893501,预测包含真实
7,329,2617620.3673097054,真实包含预测
8,736,113833.05370621906,部分重叠
8,740,1815337.9752327225,部分重叠
9,740,456765.7603972393,部分重叠
9,739,720111.025333296,部分重叠
10,738,319849.16343714925,部分重叠
10,737,1192881.915178773,部分重叠
11,739,255976.85144986762,部分重叠
11,738,649194.5809909077,部分重叠
12,766,2242191.1819117493,部分重叠
13,766,2203151.549654211,部分重叠
14,797,3185447.5408994677,真实包含预测
15,761,1039850.144551126,预测包含真实
15,763,597451.9066313319,预测包含真实
15,762,557414.6655201679,预测包含真实
16,736,1023264.1166913307,部分重叠
17,705,295017.0533186205,部分重叠
17,60,1679837.5501756053,部分重叠
17,700,797122.4286314052,预测包含真实
17,701,436048.64700163424,预测包含真实
17,702,193449.44086963058,部分重叠
17,708,305583.92694231187,部分重叠
17,707,337276.4855651953,预测包含真实
17,706,857431.0976430661,预测包含真实
18,60,1630345.891126932,部分重叠
18,709,376892.41744965257,部分重叠
18,708,836718.9553527014,部分重叠
19,60,698916.2424106355,部分重叠
19,54,122207.20609511789,部分重叠
19,712,353227.1668829218,部分重叠
20,726,3125991.3883370664,部分重叠
20,724,195151.82992911563,部分重叠
21,690,20171.44798692405,部分重叠
21,689,1019587.100828723,部分重叠
22,441,356869.3565047755,部分重叠
23,271,193049.716052442,预测包含真实
24,59,318495.06106578733,部分重叠
24,632,888873.5698920729,预测包含真实
24,48,505239.14739276795,预测包含真实
25,59,1116484.043685398,部分重叠
26,416,951374.3961309823,部分重叠
28,158,252731.3766446872,预测包含真实
29,917,1852181.137364563,部分重叠
30,705,11430.818893903397,部分重叠
30,702,104862.30686429722,部分重叠
30,704,320929.16953701235,部分重叠
30,703,496752.82037119876,预测包含真实
31,423,543571.8622796884,部分重叠
32,534,858180.0059708515,部分重叠
33,421,685554.1997142083,预测包含真实
33,420,443941.8538377963,部分重叠
34,459,233581.56144980981,预测包含真实
34,304,21005.454572869057,部分重叠
35,721,1177063.622256938,部分重叠
36,39,1493569.073308944,部分重叠
36,510,317164.2676266807,部分重叠
36,880,3798763.544274238,部分重叠
36,881,23498.387869755155,部分重叠
37,881,751805.1008685915,部分重叠
37,882,667711.1442694206,部分重叠
38,919,829530.0301867728,部分重叠
38,918,226549.31355229334,部分重叠
39,690,1440691.3421730045,部分重叠
39,689,20842.880237619796,部分重叠
40,622,807614.0669090635,预测包含真实
40,908,173020.65981919615,部分重叠
41,672,331769.01501334197,部分重叠
41,355,530402.8444791547,部分重叠
42,169,621671.8023733092,部分重叠
42,167,178318.84473868302,预测包含真实
43,123,838982.2117768616,部分重叠
44,227,249860.9499151887,预测包含真实
45,215,1276874.1476779983,部分重叠
46,171,223105.9391530265,预测包含真实
47,651,1169681.6084086094,部分重叠
47,650,1481226.9204832944,预测包含真实
47,649,85301.71910048572,部分重叠
48,321,656583.7009369143,部分重叠
49,577,1063839.6317448367,部分重叠
50,744,550829.2786941396,部分重叠
51,225,212875.12915599457,预测包含真实
52,404,958490.0118648016,预测包含真实
52,405,702318.500371161,部分重叠
53,337,911641.6142759956,部分重叠
54,174,1332229.014597023,部分重叠
54,784,1149895.6793683,预测包含真实
54,510,283090.73635001184,部分重叠
54,511,877531.7369028825,预测包含真实
55,768,619844.4493558941,部分重叠
55,767,2978506.658138158,部分重叠
56,814,789369.9680854573,部分重叠
57,549,85888.89166724983,部分重叠
57,693,346045.03071617626,预测包含真实
57,692,400461.81678389566,预测包含真实
58,513,534929.5689207771,预测包含真实
58,512,569374.2583699857,部分重叠
59,269,41011.01434434202,部分重叠
59,267,429770.7725211738,部分重叠
62,462,221997.98015720106,部分重叠
63,411,361678.6098709003,部分重叠
63,410,1932048.5740883225,部分重叠
64,824,205270.81488502282,预测包含真实
65,645,6299252.126908413,部分重叠
66,47,461955.86970051716,部分重叠
66,798,358115.609823225,预测包含真实
66,514,127999.69502411765,预测包含真实
66,515,313291.212479347,部分重叠
67,47,260050.34684187424,部分重叠
67,516,303242.3298356746,预测包含真实
69,859,22872.640302263346,部分重叠
69,858,335181.2762139683,部分重叠
70,646,3258622.991416717,部分重叠
71,638,4715875.323731368,部分重叠
71,639,814694.2987682886,部分重叠
71,642,122252.90513415054,部分重叠
72,640,49746.39681121329,部分重叠
72,639,2455994.2776020467,部分重叠
73,329,4082313.191905011,真实包含预测
74,778,2136409.620418342,部分重叠
75,327,551190.3589448878,部分重叠
76,539,344.71636494190784,部分重叠
76,898,128936.98526355196,部分重叠
76,540,436270.45290250395,部分重叠
76,541,351366.6041717093,预测包含真实
